id,5101001@經濟學原理（一）@1@1,5101001@經濟學原理（一）@1@2,5101888@學系服務學習@1@1,5101888@學系服務學習@1@2,5101002@經濟學原理（二）@2@1,5101002@經濟學原理（二）@2@2,5101888@學系服務學習@2@1,5101888@學系服務學習@2@2,5102101@個體經濟學（一）@1@1,5102101@個體經濟學（一）@1@2,5102201@總體經濟學（一）@1@1,5102201@總體經濟學（一）@1@2,5102301@統計學（一）@1@1,5102301@統計學（一）@1@2,5103816@西洋經濟史@1@1,5104600@大陸經濟@1@1,5102102@個體經濟學（二）@2@1,5102102@個體經濟學（二）@2@2,5102110@管理經濟學@2@1,5102202@總體經濟學（二）@2@1,5102202@總體經濟學（二）@2@2,5102240@貨幣銀行學@2@1,5102240@貨幣銀行學@2@2,5102302@統計學（二）@2@1,5102302@統計學（二）@2@2,5102401@管制經濟學@2@1,5103020@經濟思想史@2@1,5103600@發展經濟學@2@1,5103700@財政學@2@1,5101001@經濟學原理（一）@1@3,5101003@基礎個體經濟學@1@1,5102360@數理經濟學@1@1,5103307@高等統計學（一）@1@1,5103311@計量經濟學（一）@1@1,5103311@計量經濟學（一）@1@2,5103365@賽局理論（一）@1@1,5103401@國際貿易理論與政策（一）@1@1,5103501@國際金融理論與政策（一）@1@1,5103501@國際金融理論與政策（一）@1@2,5103620@亞太地區經濟@1@1,5103915@訊息經濟學@1@1,5103920@統計軟體應用@1@1,5104811@國際經濟組織（一）@1@1,5103105@生產經濟學@2@1,5103160@產業經濟學@2@1,5103312@計量經濟學（二）@2@1,5103370@國際貨幣制度@2@1,5103404@外人投資@2@1,5103604@公共經濟學@2@1,5104710@國際貿易實務@2@1,5103401@國際貿易理論與政策（一）@1@2,5104920@經濟政策@1@1,5103308@高等統計學（二）@2@1,5103920@統計軟體應用@2@1,5104101@個體經濟理論應用@2@1,5104102@總體經濟理論應用@2@1,5103366@賽局理論（二）@2@1
400510057,84,NaN,NaN,91,82,NaN,NaN,NaN,67,NaN,80,NaN,NaN,70,88,87,65,NaN,NaN,69,NaN,NaN,75,NaN,61,84,NaN,NaN,NaN,NaN,NaN,NaN,91,79,NaN,87,NaN,NaN,84,NaN,85,NaN,92,NaN,63,NaN,85,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN
400510059,74,NaN,87,NaN,64,NaN,NaN,NaN,63,NaN,70,NaN,NaN,73,81,89,67,NaN,NaN,64,NaN,NaN,65,NaN,67,81,NaN,NaN,67,NaN,NaN,67,NaN,NaN,61,NaN,77,NaN,76,NaN,76,NaN,70,64,55,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510061,81,NaN,87,NaN,78,NaN,NaN,NaN,64,NaN,63,NaN,NaN,68,NaN,NaN,60,NaN,94,70,NaN,NaN,79,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,70,77,82,NaN,74,NaN,73,92,99,NaN,84,NaN,99,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510063,48,NaN,NaN,85,63,NaN,NaN,NaN,NaN,62,71,NaN,62,NaN,53,79,NaN,69,77,63,NaN,NaN,70,NaN,62,52,NaN,NaN,63,61,NaN,58,NaN,0,72,67,NaN,NaN,72,70,77,NaN,NaN,NaN,66,NaN,NaN,NaN,60,NaN,85,NaN,NaN,78,70,NaN,NaN
400510067,69,NaN,NaN,90,68,NaN,NaN,NaN,NaN,67,60,NaN,NaN,68,72,94,NaN,69,75,80,NaN,NaN,69,NaN,88,NaN,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,61,82,75,63,NaN,88,NaN,NaN,NaN,NaN,85,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510068,90,NaN,NaN,NaN,81,NaN,NaN,90,70,NaN,74,NaN,NaN,78,NaN,89,62,NaN,NaN,67,NaN,NaN,74,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,66,80,78,60,NaN,85,70,NaN,84,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,75,NaN,NaN
400510069,81,NaN,NaN,90,62,NaN,NaN,NaN,65,NaN,60,NaN,NaN,69,78,NaN,60,NaN,76,67,NaN,NaN,80,NaN,64,77,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,71,74,79,NaN,65,NaN,NaN,NaN,NaN,76,NaN,NaN,91,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510071,89,NaN,NaN,90,89,NaN,NaN,NaN,77,NaN,69,NaN,NaN,71,85,NaN,50,85,86,76,NaN,NaN,86,NaN,78,76,NaN,NaN,NaN,NaN,NaN,NaN,80,93,NaN,80,84,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,84,93,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510073,73,NaN,NaN,90,74,NaN,NaN,NaN,12,74,60,NaN,NaN,70,66,NaN,NaN,66,91,12,NaN,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,51,73,75,60,NaN,NaN,NaN,NaN,70,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510074,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
