id,5101001@經濟學原理（一）@1@1,5101001@經濟學原理（一）@1@2,5101888@學系服務學習@1@1,5101888@學系服務學習@1@2,5101002@經濟學原理（二）@2@1,5101002@經濟學原理（二）@2@2,5101888@學系服務學習@2@1,5101888@學系服務學習@2@2,5102101@個體經濟學（一）@1@1,5102101@個體經濟學（一）@1@2,5102201@總體經濟學（一）@1@1,5102201@總體經濟學（一）@1@2,5102301@統計學（一）@1@1,5102301@統計學（一）@1@2,5103816@西洋經濟史@1@1,5104600@大陸經濟@1@1,5102102@個體經濟學（二）@2@1,5102102@個體經濟學（二）@2@2,5102110@管理經濟學@2@1,5102202@總體經濟學（二）@2@1,5102202@總體經濟學（二）@2@2,5102240@貨幣銀行學@2@1,5102240@貨幣銀行學@2@2,5102302@統計學（二）@2@1,5102302@統計學（二）@2@2,5102401@管制經濟學@2@1,5103020@經濟思想史@2@1,5103600@發展經濟學@2@1,5103700@財政學@2@1,5101001@經濟學原理（一）@1@3,5101003@基礎個體經濟學@1@1,5102360@數理經濟學@1@1,5103307@高等統計學（一）@1@1,5103311@計量經濟學（一）@1@1,5103311@計量經濟學（一）@1@2,5103365@賽局理論（一）@1@1,5103401@國際貿易理論與政策（一）@1@1,5103501@國際金融理論與政策（一）@1@1,5103501@國際金融理論與政策（一）@1@2,5103620@亞太地區經濟@1@1,5103915@訊息經濟學@1@1,5103920@統計軟體應用@1@1,5104811@國際經濟組織（一）@1@1,5103105@生產經濟學@2@1,5103160@產業經濟學@2@1,5103312@計量經濟學（二）@2@1,5103370@國際貨幣制度@2@1,5103404@外人投資@2@1,5103604@公共經濟學@2@1,5104710@國際貿易實務@2@1,5103401@國際貿易理論與政策（一）@1@2,5104920@經濟政策@1@1,5103308@高等統計學（二）@2@1,5103920@統計軟體應用@2@1,5104101@個體經濟理論應用@2@1,5104102@總體經濟理論應用@2@1,5103366@賽局理論（二）@2@1
400510007,NaN,78,NaN,90,89,NaN,NaN,NaN,70,NaN,79,NaN,NaN,72,NaN,NaN,70,NaN,NaN,85,NaN,70,NaN,NaN,85,NaN,NaN,71,NaN,NaN,NaN,62,87,NaN,92,85,81,NaN,70,NaN,70,89,NaN,NaN,92,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510008,NaN,75,NaN,NaN,NaN,78,NaN,90,NaN,84,67,NaN,NaN,79,NaN,NaN,74,NaN,NaN,72,NaN,NaN,80,NaN,74,71,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,72,76,76,NaN,73,NaN,83,NaN,66,76,70,NaN,65,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510010,NaN,60,NaN,NaN,NaN,78,90,NaN,67,NaN,63,NaN,NaN,71,NaN,NaN,NaN,86,94,NaN,86,NaN,82,NaN,73,92,NaN,NaN,NaN,NaN,NaN,NaN,87,92,NaN,NaN,82,NaN,84,NaN,77,NaN,NaN,NaN,98,NaN,92,NaN,NaN,84,NaN,NaN,99,NaN,NaN,NaN,NaN
400510012,NaN,74,NaN,NaN,NaN,85,NaN,90,NaN,70,60,NaN,78,NaN,NaN,NaN,NaN,72,82,NaN,73,NaN,68,70,NaN,77,75,NaN,66,NaN,NaN,46,NaN,NaN,62,70,83,NaN,60,NaN,78,NaN,80,NaN,65,NaN,71,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510013,NaN,71,NaN,92,83,NaN,NaN,NaN,77,NaN,65,NaN,NaN,80,NaN,NaN,67,NaN,NaN,76,NaN,NaN,86,NaN,84,72,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,79,83,74,60,NaN,86,74,NaN,NaN,NaN,82,NaN,84,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510016,NaN,66,NaN,NaN,NaN,74,90,NaN,60,NaN,61,NaN,NaN,64,NaN,90,83,NaN,NaN,73,NaN,NaN,83,NaN,73,86,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,74,87,82,NaN,69,NaN,80,93,NaN,NaN,90,NaN,77,NaN,60,81,NaN,82,NaN,NaN,NaN,NaN,NaN
400510024,NaN,83,NaN,NaN,NaN,93,90,NaN,NaN,91,83,NaN,NaN,84,NaN,NaN,NaN,93,99,80,NaN,NaN,84,NaN,91,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,91,90,NaN,83,NaN,77,NaN,90,NaN,99,NaN,95,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510026,NaN,61,NaN,NaN,80,NaN,90,NaN,67,NaN,71,NaN,NaN,72,NaN,NaN,NaN,75,NaN,68,NaN,NaN,89,NaN,77,85,NaN,NaN,72,NaN,NaN,NaN,70,NaN,83,81,82,60,NaN,NaN,75,NaN,NaN,NaN,80,NaN,80,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510028,NaN,85,NaN,NaN,NaN,83,NaN,90,66,NaN,66,NaN,NaN,84,85,NaN,87,NaN,90,77,NaN,NaN,87,NaN,83,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,87,76,65,NaN,86,82,NaN,NaN,NaN,77,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510030,NaN,83,NaN,NaN,NaN,90,90,NaN,67,NaN,67,NaN,NaN,80,NaN,91,80,NaN,NaN,74,NaN,NaN,78,NaN,80,74,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,78,NaN,80,NaN,73,NaN,82,NaN,NaN,83,86,NaN,87,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN
400510032,NaN,76,NaN,NaN,NaN,60,90,NaN,NaN,60,72,NaN,NaN,60,66,NaN,NaN,60,75,NaN,66,NaN,74,47,61,79,68,NaN,NaN,NaN,NaN,60,NaN,NaN,62,NaN,77,60,59,NaN,87,NaN,NaN,65,NaN,NaN,77,NaN,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510036,NaN,100,NaN,NaN,89,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510040,NaN,65,NaN,NaN,65,NaN,NaN,90,38,65,62,NaN,NaN,60,68,67,NaN,73,82,NaN,71,NaN,60,NaN,60,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64,NaN,68,NaN,67,NaN,NaN,NaN,NaN,72,60,NaN,75,NaN,61,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN
400510042,NaN,60,NaN,NaN,NaN,63,90,NaN,NaN,67,65,NaN,69,NaN,79,NaN,NaN,65,73,NaN,63,NaN,65,68,NaN,53,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,61,NaN,76,NaN,65,NaN,75,NaN,84,NaN,60,NaN,80,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN
400510048,NaN,77,NaN,NaN,NaN,87,NaN,90,70,NaN,75,NaN,NaN,70,NaN,NaN,73,NaN,98,70,NaN,NaN,79,NaN,67,82,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,68,NaN,80,NaN,69,NaN,76,NaN,NaN,72,85,NaN,75,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN
400510050,NaN,77,NaN,NaN,77,NaN,90,NaN,51,78,66,NaN,NaN,70,75,NaN,NaN,60,82,NaN,62,NaN,77,NaN,60,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,83,74,NaN,60,NaN,NaN,NaN,NaN,75,70,NaN,77,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510053,NaN,77,NaN,91,69,NaN,NaN,NaN,NaN,76,46,70,NaN,63,NaN,NaN,70,NaN,89,61,NaN,29,77,NaN,60,82,NaN,NaN,NaN,NaN,NaN,60,NaN,62,NaN,70,73,50,82,79,NaN,NaN,NaN,NaN,74,NaN,84,NaN,60,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510054,NaN,72,NaN,NaN,NaN,80,90,NaN,NaN,79,60,NaN,NaN,75,NaN,NaN,64,NaN,79,66,NaN,NaN,71,76,NaN,83,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,66,72,70,50,82,77,81,NaN,NaN,64,72,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510055,NaN,60,91,NaN,NaN,76,NaN,NaN,61,NaN,60,NaN,NaN,72,71,84,60,NaN,81,68,NaN,60,NaN,76,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,71,49,77,NaN,73,62,NaN,NaN,71,NaN,NaN,NaN,76,NaN,NaN,97,62,82,NaN,NaN,NaN,NaN,NaN,82,NaN
400510056,NaN,90,NaN,NaN,NaN,93,90,NaN,84,NaN,89,NaN,NaN,92,NaN,91,100,NaN,99,97,NaN,NaN,89,NaN,92,94,NaN,NaN,NaN,NaN,NaN,97,92,NaN,94,92,88,NaN,90,NaN,86,93,99,NaN,80,NaN,99,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510058,NaN,76,NaN,NaN,NaN,84,90,NaN,77,NaN,66,NaN,NaN,67,NaN,NaN,80,NaN,NaN,64,NaN,NaN,81,NaN,72,76,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,78,NaN,72,NaN,66,NaN,68,88,96,NaN,70,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510060,NaN,81,NaN,NaN,NaN,97,90,NaN,80,NaN,79,NaN,NaN,79,NaN,NaN,80,NaN,NaN,89,NaN,NaN,86,NaN,73,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,78,NaN,83,NaN,85,88,99,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN
400510062,NaN,76,NaN,NaN,NaN,75,NaN,90,48,62,64,NaN,NaN,60,62,NaN,NaN,72,76,60,58,63,NaN,NaN,60,69,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,62,65,77,NaN,66,NaN,NaN,NaN,NaN,68,60,NaN,NaN,NaN,60,80,NaN,84,NaN,80,NaN,NaN,NaN
400510064,NaN,80,NaN,NaN,NaN,95,90,NaN,77,NaN,95,NaN,NaN,94,NaN,NaN,93,NaN,99,92,NaN,NaN,88,NaN,93,90,NaN,NaN,NaN,NaN,NaN,99,NaN,NaN,89,91,90,NaN,96,NaN,92,NaN,NaN,96,100,NaN,99,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN
400510066,NaN,66,NaN,NaN,NaN,62,NaN,90,NaN,68,60,NaN,68,NaN,74,83,NaN,60,74,60,59,NaN,65,58,71,78,70,NaN,NaN,NaN,NaN,64,NaN,NaN,65,NaN,65,62,39,NaN,63,NaN,NaN,60,NaN,NaN,83,NaN,60,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN
400510070,NaN,76,NaN,NaN,90,NaN,90,NaN,76,NaN,85,NaN,NaN,85,NaN,NaN,71,NaN,NaN,80,NaN,NaN,82,NaN,83,78,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,80,94,81,60,NaN,87,74,NaN,NaN,NaN,86,NaN,87,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510072,NaN,89,NaN,NaN,NaN,93,NaN,90,92,NaN,93,NaN,NaN,92,NaN,NaN,90,NaN,NaN,93,NaN,NaN,92,NaN,96,92,NaN,NaN,88,NaN,NaN,NaN,80,NaN,97,91,89,72,NaN,88,87,NaN,99,NaN,89,NaN,99,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510076,NaN,76,NaN,NaN,NaN,79,90,NaN,NaN,65,62,NaN,NaN,63,72,NaN,60,NaN,76,60,NaN,NaN,67,NaN,60,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63,73,66,60,58,NaN,79,NaN,71,NaN,82,NaN,77,NaN,63,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN
400510078,NaN,60,NaN,NaN,NaN,60,NaN,90,70,NaN,73,NaN,NaN,68,63,NaN,67,NaN,NaN,66,NaN,63,NaN,NaN,75,73,NaN,NaN,51,NaN,NaN,NaN,77,84,NaN,71,75,NaN,60,NaN,68,NaN,NaN,NaN,68,67,NaN,NaN,NaN,78,NaN,90,76,NaN,NaN,NaN,NaN
400510080,NaN,83,NaN,NaN,NaN,86,NaN,90,71,NaN,67,NaN,NaN,75,NaN,NaN,60,NaN,NaN,75,NaN,NaN,77,NaN,69,52,NaN,NaN,63,NaN,NaN,99,72,NaN,75,76,75,NaN,61,NaN,68,NaN,92,NaN,83,92,93,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN
400510084,NaN,86,NaN,NaN,NaN,90,NaN,90,NaN,88,74,NaN,NaN,76,NaN,NaN,NaN,96,NaN,80,NaN,NaN,72,NaN,83,91,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,84,NaN,85,NaN,73,NaN,84,91,NaN,84,85,NaN,77,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510088,NaN,99,NaN,NaN,NaN,93,90,NaN,95,NaN,94,NaN,NaN,92,NaN,NaN,95,NaN,99,91,NaN,NaN,92,NaN,98,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,98,92,NaN,99,NaN,87,90,NaN,NaN,99,NaN,99,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510090,NaN,85,NaN,NaN,NaN,86,NaN,90,71,NaN,62,NaN,NaN,76,NaN,NaN,68,NaN,89,62,NaN,NaN,80,NaN,69,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,85,84,55,87,85,74,NaN,90,NaN,75,NaN,90,NaN,67,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510092,NaN,72,NaN,NaN,NaN,66,NaN,90,62,NaN,66,NaN,NaN,77,NaN,NaN,NaN,81,92,69,NaN,NaN,73,NaN,69,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,82,88,NaN,80,NaN,75,NaN,90,NaN,80,NaN,90,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510096,NaN,86,NaN,NaN,NaN,90,NaN,90,82,NaN,92,NaN,NaN,82,NaN,96,92,NaN,99,85,NaN,NaN,82,NaN,88,NaN,NaN,NaN,72,NaN,NaN,93,NaN,NaN,89,91,85,NaN,87,NaN,83,95,90,NaN,96,NaN,99,NaN,82,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510100,NaN,70,NaN,NaN,69,55,90,NaN,48,60,67,NaN,NaN,60,78,76,NaN,68,81,NaN,60,NaN,60,NaN,60,70,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,69,NaN,66,60,NaN,70,74,NaN,NaN,58,60,NaN,75,NaN,48,79,NaN,NaN,NaN,89,NaN,NaN,NaN
400510102,NaN,91,NaN,NaN,NaN,91,90,NaN,78,NaN,74,NaN,NaN,85,NaN,88,87,NaN,94,84,NaN,NaN,80,NaN,94,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,91,90,NaN,82,NaN,80,NaN,99,NaN,100,NaN,99,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510104,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,80,NaN,89,NaN,NaN,72,NaN,95,87,NaN,NaN,82,NaN,NaN,NaN,NaN,76,79,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,79,86,85,64,NaN,92,85,NaN,NaN,NaN,NaN,NaN,85,95,NaN,81,NaN,NaN,NaN,93,NaN,88,NaN
400510105,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,60,NaN,69,NaN,NaN,61,NaN,NaN,62,NaN,93,67,NaN,NaN,81,NaN,74,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,71,82,60,NaN,88,79,NaN,NaN,NaN,75,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400510107,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,73,NaN,68,NaN,NaN,74,NaN,94,62,NaN,95,67,NaN,61,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52,NaN,75,77,79,61,NaN,88,80,NaN,NaN,NaN,96,NaN,NaN,99,NaN,80,NaN,94,NaN,NaN,NaN,NaN,NaN
400510108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,78,NaN,84,NaN,81,NaN,72,NaN,NaN,96,87,71,NaN,NaN,76,75,NaN,NaN,NaN,NaN,60,NaN,NaN,93,NaN,64,NaN,82,76,NaN,87,NaN,78,NaN,NaN,NaN,75,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN
400510109,NaN,NaN,NaN,NaN,88,NaN,90,NaN,90,NaN,85,NaN,NaN,86,80,NaN,86,NaN,86,81,NaN,NaN,75,83,NaN,84,76,NaN,69,NaN,NaN,99,NaN,66,NaN,77,NaN,NaN,90,NaN,83,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN
