id,5101001@經濟學原理（一）@1@1,5101001@經濟學原理（一）@1@2,5101001@經濟學原理（一）@1@3,5101001@經濟學原理（一）@1@5,5101003@基礎個體經濟學@1@1,5101888@學系服務學習@1@1,5101888@學系服務學習@1@2,5102301@統計學（一）@1@1,5101002@經濟學原理（二）@2@1,5101002@經濟學原理（二）@2@2,5101002@經濟學原理（二）@2@6,5101888@學系服務學習@2@1,5101888@學系服務學習@2@2,5102302@統計學（二）@2@1,5101001@經濟學原理（一）@1@4,5102101@個體經濟學（一）@1@1,5102101@個體經濟學（一）@1@2,5102103@個體經濟學@1@1,5102201@總體經濟學（一）@1@1,5102201@總體經濟學（一）@1@2,5102301@統計學（一）@1@2,5102360@數理經濟學@1@1,5103311@計量經濟學（一）@1@1,5103401@國際貿易理論與政策（一）@1@1,5103620@亞太地區經濟@1@1,5103816@西洋經濟史@1@1,5101002@經濟學原理（二）@2@4,5102102@個體經濟學（二）@2@1,5102102@個體經濟學（二）@2@2,5102110@管理經濟學@2@1,5102202@總體經濟學（二）@2@1,5102202@總體經濟學（二）@2@2,5102240@貨幣銀行學@2@1,5102240@貨幣銀行學@2@2,5102302@統計學（二）@2@2,5103020@經濟思想史@2@1,5103312@計量經濟學（二）@2@1,5103366@賽局理論（二）@2@1,5103600@發展經濟學@2@1,5103915@訊息經濟學@2@1
404510094,75,NaN,NaN,NaN,NaN,NaN,NaN,75,68,NaN,NaN,85,NaN,-1,NaN,65,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510095,83,NaN,NaN,NaN,NaN,90,NaN,98,NaN,NaN,85,NaN,NaN,-1,NaN,86,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510098,37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510099,80,NaN,NaN,NaN,NaN,NaN,85,NaN,61,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,73,61,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404510103,75,NaN,NaN,NaN,NaN,NaN,85,73,62,NaN,NaN,NaN,NaN,-1,NaN,77,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,72,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN
404510105,62,NaN,NaN,NaN,NaN,90,NaN,71,56,NaN,NaN,NaN,NaN,-1,NaN,38,NaN,NaN,28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510006,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,80,NaN,-1,NaN,54,NaN,NaN,NaN,63,64,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510010,NaN,90,NaN,NaN,NaN,NaN,NaN,81,NaN,79,NaN,85,NaN,-1,NaN,87,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510013,NaN,77,NaN,NaN,NaN,NaN,85,77,NaN,66,NaN,NaN,NaN,-1,NaN,74,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN
404510031,NaN,62,NaN,NaN,NaN,90,NaN,87,NaN,NaN,64,NaN,NaN,-1,NaN,NaN,90,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510043,NaN,82,NaN,NaN,NaN,92,NaN,68,NaN,-1,NaN,NaN,NaN,-1,NaN,73,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510048,NaN,98,NaN,NaN,NaN,NaN,NaN,100,NaN,93,NaN,92,NaN,NaN,NaN,94,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510053,NaN,85,NaN,NaN,NaN,NaN,85,63,NaN,NaN,75,NaN,NaN,-1,NaN,77,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510054,NaN,75,NaN,NaN,NaN,NaN,NaN,68,NaN,66,NaN,55,NaN,-1,NaN,74,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,64,NaN,-1,NaN,-1,-1,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN
404510060,NaN,91,NaN,NaN,NaN,NaN,NaN,88,NaN,76,NaN,NaN,95,-1,NaN,85,NaN,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510072,NaN,87,NaN,NaN,NaN,NaN,NaN,77,NaN,70,NaN,92,NaN,-1,NaN,84,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510073,NaN,89,NaN,NaN,NaN,NaN,85,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510075,NaN,26,NaN,NaN,48,91,NaN,42,NaN,NaN,37,NaN,NaN,NaN,NaN,7,NaN,NaN,NaN,35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510092,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,84,NaN,NaN,NaN,68,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,85,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,NaN
404510101,NaN,100,NaN,NaN,NaN,NaN,85,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,91,NaN,94,NaN,NaN,NaN,88,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404510041,NaN,NaN,64,NaN,NaN,NaN,85,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,75,86,NaN,NaN,NaN,NaN,73,NaN,NaN,-1,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404510077,NaN,NaN,NaN,68,NaN,NaN,50,69,75,NaN,NaN,NaN,NaN,-1,NaN,33,NaN,NaN,44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510004,NaN,NaN,NaN,NaN,87,NaN,NaN,90,NaN,NaN,82,NaN,90,-1,NaN,83,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,78,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510005,NaN,NaN,NaN,NaN,84,92,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,85,NaN,NaN,77,NaN,68,NaN,NaN,NaN,NaN,87,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404510011,NaN,NaN,NaN,NaN,82,NaN,85,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,80,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404510012,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,85,NaN,90,NaN,NaN,90,NaN,NaN,84,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404510016,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,90,NaN,90,NaN,NaN,85,NaN,NaN,NaN,88,80,NaN,NaN,NaN,NaN,73,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404510018,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,72,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510020,NaN,NaN,NaN,NaN,79,NaN,NaN,71,NaN,NaN,71,80,NaN,-1,NaN,80,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510021,NaN,NaN,NaN,NaN,93,92,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,96,NaN,NaN,90,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404510022,NaN,NaN,NaN,NaN,76,NaN,NaN,65,NaN,NaN,82,95,NaN,-1,NaN,68,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510023,NaN,NaN,NaN,NaN,65,NaN,85,52,NaN,-1,58,NaN,NaN,-1,NaN,32,NaN,NaN,NaN,46,NaN,NaN,NaN,NaN,NaN,61,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN
404510033,NaN,NaN,NaN,NaN,74,NaN,85,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,63,NaN,NaN,NaN,60,74,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404510038,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,93,92,NaN,NaN,NaN,99,NaN,NaN,84,NaN,94,NaN,NaN,NaN,NaN,96,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404510042,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,78,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510044,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,73,85,NaN,NaN,NaN,73,NaN,NaN,NaN,80,86,NaN,NaN,NaN,NaN,74,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,NaN,NaN,NaN
404510046,NaN,NaN,NaN,NaN,87,NaN,NaN,89,NaN,NaN,91,NaN,95,-1,NaN,80,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510047,NaN,NaN,NaN,NaN,89,91,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,93,85,NaN,NaN,NaN,NaN,73,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
404510049,NaN,NaN,NaN,NaN,70,NaN,85,71,NaN,NaN,63,NaN,NaN,-1,NaN,70,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN
404510055,NaN,NaN,NaN,NaN,75,NaN,85,79,NaN,NaN,78,NaN,NaN,-1,NaN,64,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510056,NaN,NaN,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,60,85,NaN,-1,NaN,39,NaN,NaN,30,NaN,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN
404510058,NaN,NaN,NaN,NaN,64,NaN,NaN,56,NaN,NaN,62,80,NaN,-1,NaN,49,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510067,NaN,NaN,NaN,NaN,70,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510069,NaN,NaN,NaN,NaN,63,90,NaN,63,NaN,NaN,65,NaN,NaN,-1,NaN,NaN,60,NaN,NaN,49,NaN,NaN,NaN,NaN,NaN,47,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
404510070,NaN,NaN,NaN,NaN,80,NaN,NaN,78,NaN,NaN,86,95,NaN,-1,NaN,75,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN
404510076,NaN,NaN,NaN,NaN,73,NaN,NaN,78,NaN,NaN,60,NaN,90,-1,NaN,81,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,82,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510079,NaN,NaN,NaN,NaN,75,88,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,80,NaN,60,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404510080,NaN,NaN,NaN,NaN,74,NaN,NaN,62,NaN,NaN,74,80,NaN,-1,NaN,72,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404510081,NaN,NaN,NaN,NaN,70,NaN,85,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,70,62,NaN,NaN,NaN,78,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404510083,NaN,NaN,NaN,NaN,65,92,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,70,NaN,NaN,81,NaN,80,NaN,NaN,NaN,NaN,90,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN
