id,2101001@微積分（一）@1@1,2101011@線性代數（一）@1@1,2101888@學系服務學習@1@1,2101002@微積分（二）@2@1,2101002@微積分（二）@2@9,2101005@基礎數學（一）@2@1,2101012@線性代數（二）@2@1,2101888@學系服務學習@2@1,2101001@微積分（一）@1@4,2102001@高等微積分（一）@1@1,2102401@代數（一）@1@1,2102403@代數研習（一）@1@1,2102701@機率論@1@1,2103521@數值線性代數導論@1@1,2104553@線性規劃導論@1@1,2101001@微積分（一）@2@1,2101002@微積分（二）@2@4,2102001@高等微積分（一）@2@1,2102002@高等微積分（二）@2@1,2102201@微分方程（一）@2@1,2102402@代數（二）@2@1,2102404@代數研習（二）@2@1,2103521@數值線性代數導論@2@1,2103522@微分方程數值方法@2@1,2103711@統計方法@2@1,2104402@近代數學專題（二）@2@1,2101001@微積分（一）@1@9,2102002@高等微積分（二）@1@1,2103101@複變函數論（一）@1@1,2103301@幾何學@1@1,2103401@近世代數（一）@1@1,2104201@偏微分方程導論@1@1,2103001@點集拓樸@2@1,2103404@離散數學@2@1,2103701@統計科學@2@1,2104401@近代數學專題（一）@2@1,2101002@微積分（二）@1@1,2101017@基礎生物數學@1@1,2103711@統計方法@1@1,2104701@統計推論@1@1,2103301@幾何學@2@1,2103302@幾何學(二)@2@1,2103402@近世代數（二）@2@1
402210012,65,65,NaN,NaN,NaN,60,19,0,NaN,20,4,0,67,1,NaN,NaN,NaN,2,-1,-1,NaN,NaN,NaN,NaN,20,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
402210013,30,63,97,42,NaN,60,60,NaN,NaN,60,60,72,65,77,63,NaN,NaN,NaN,60,64,60,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,76,NaN,47,69,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1
402210015,65,61,84,80,NaN,60,63,NaN,NaN,61,64,64,96,89,64,NaN,NaN,NaN,60,73,61,82,NaN,NaN,30,-1,NaN,NaN,78,82,NaN,90,NaN,NaN,78,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210016,62,81,NaN,93,NaN,75,88,96,NaN,62,80,87,80,86,88,NaN,NaN,NaN,60,99,65,84,NaN,NaN,71,NaN,NaN,NaN,71,71,71,90,NaN,96,80,93,NaN,NaN,NaN,73,NaN,NaN,NaN
402210017,64,62,80,64,NaN,60,68,NaN,NaN,61,66,81,91,81,76,NaN,NaN,NaN,61,79,60,84,NaN,NaN,86,NaN,NaN,NaN,64,87,71,NaN,NaN,NaN,98,84,NaN,NaN,NaN,97,NaN,NaN,NaN
402210018,60,80,NaN,77,NaN,70,82,93,NaN,65,82,89,73,80,81,NaN,NaN,NaN,60,88,76,82,NaN,89,NaN,83,NaN,NaN,61,75,NaN,88,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210019,50,71,94,61,NaN,60,65,NaN,NaN,60,61,70,67,67,74,NaN,NaN,NaN,56,60,60,78,50,NaN,49,NaN,NaN,NaN,53,86,79,61,-1,68,NaN,80,NaN,NaN,NaN,NaN,NaN,-1,NaN
402210020,88,76,NaN,82,NaN,73,74,84,NaN,20,66,NaN,41,80,63,NaN,NaN,88,NaN,-1,-1,77,NaN,-1,NaN,-1,NaN,95,24,11,NaN,NaN,80,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210021,75,77,85,63,NaN,NaN,69,NaN,NaN,73,75,91,72,80,75,NaN,NaN,NaN,-1,86,69,60,NaN,NaN,60,NaN,NaN,NaN,66,62,86,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
402210022,60,67,NaN,77,NaN,60,74,90,NaN,60,73,80,65,80,66,NaN,NaN,NaN,-1,73,67,82,NaN,NaN,69,NaN,NaN,58,62,68,NaN,70,NaN,NaN,71,80,NaN,NaN,NaN,76,NaN,NaN,NaN
402210023,62,68,85,66,NaN,67,68,NaN,NaN,62,61,79,69,77,74,NaN,NaN,NaN,-1,73,60,82,NaN,70,NaN,-1,NaN,51,63,70,NaN,NaN,-1,63,NaN,75,NaN,NaN,NaN,NaN,NaN,-1,NaN
402210024,60,66,NaN,51,NaN,-1,67,88,NaN,15,76,65,46,61,60,NaN,NaN,NaN,-1,65,-1,74,NaN,NaN,NaN,-1,NaN,NaN,50,60,NaN,NaN,-1,78,NaN,76,76,NaN,NaN,NaN,NaN,-1,NaN
402210025,60,70,77,60,NaN,81,61,NaN,NaN,75,61,85,67,79,79,NaN,NaN,NaN,53,62,66,78,NaN,75,NaN,-1,NaN,72,60,70,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
402210026,81,70,NaN,68,NaN,89,83,88,NaN,62,67,80,79,NaN,76,NaN,NaN,NaN,60,87,63,84,80,-1,NaN,-1,NaN,NaN,62,74,NaN,NaN,NaN,80,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210027,34,60,90,65,NaN,-1,60,NaN,NaN,46,60,68,66,71,61,NaN,NaN,NaN,-1,70,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,45,80,NaN,62,-1,NaN,35,68,NaN,NaN,NaN,NaN,NaN,-1,NaN
402210028,38,75,NaN,46,NaN,68,62,90,73,60,61,85,67,73,60,NaN,62,NaN,-1,72,60,81,NaN,NaN,67,-1,NaN,NaN,50,70,NaN,70,-1,79,-1,80,NaN,NaN,NaN,76,NaN,NaN,NaN
402210029,47,60,86,42,17,74,28,NaN,NaN,NaN,55,77,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,49,23,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210030,90,88,NaN,91,NaN,100,100,95,NaN,98,98,91,78,86,79,NaN,NaN,NaN,60,94,98,92,NaN,NaN,NaN,NaN,NaN,NaN,79,97,90,98,NaN,92,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210031,82,83,78,67,NaN,79,83,NaN,NaN,73,75,88,70,83,85,NaN,NaN,NaN,60,82,75,78,NaN,NaN,66,NaN,NaN,NaN,NaN,71,76,NaN,83,75,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210032,60,74,NaN,81,NaN,49,61,94,NaN,62,81,89,67,84,82,NaN,NaN,NaN,60,95,66,82,NaN,NaN,NaN,NaN,NaN,NaN,63,67,76,94,NaN,85,73,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402210033,50,60,93,70,NaN,60,67,NaN,NaN,60,76,82,66,80,89,68,NaN,NaN,61,71,60,77,NaN,NaN,82,-1,NaN,NaN,60,75,NaN,84,NaN,90,84,92,NaN,NaN,NaN,76,NaN,-1,NaN
