id,4151004@計算機概論@1@1,4151004@計算機概論@1@2,4151888@學系服務學習@1@1,4151888@學系服務學習@1@2,4152011@邏輯設計@1@1,4152011@邏輯設計@1@2,4152012@邏輯設計實驗@1@1,4152012@邏輯設計實驗@1@2,4152014@FPGA數位設計實驗@1@2,4151008@程式設計@2@1,4151008@程式設計@2@2,4151010@程式設計實習@2@1,4151010@程式設計實習@2@2,4151010@程式設計實習@2@3,4151010@程式設計實習@2@4,4151011@線性代數@2@1,4151888@學系服務學習@2@1,4151888@學系服務學習@2@2,4152019@電機工程導論@2@1,4152004@電路學（一）@1@1,4152006@電子學（一）@1@1,4152006@電子學（一）@1@2,4152009@電工實驗（一）@1@1,4152009@電工實驗（一）@1@2,4152014@FPGA數位設計實驗@1@1,4152017@數位系統設計@1@1,4152018@微分方程@1@1,4152201@資料結構@1@1,4152201@資料結構@1@2,4152005@電路學（二）@2@1,4152007@電子學（二）@2@1,4152007@電子學（二）@2@2,4152008@電磁學（一）@2@1,4152008@電磁學（一）@2@2,4152010@電工實驗（二）@2@1,4152010@電工實驗（二）@2@2,4152801@再生能源導論@2@1,4153011@機率@2@1,4153201@訊號與系統@2@1,4153201@訊號與系統@2@2,4153244@工程倫理@2@1,4153901@計算機組織@2@1,4153901@計算機組織@2@2,4153002@電磁學（二）@1@1,4153203@通訊原理@1@1,4153204@微處理機@1@1,4153205@電機機械@1@1,4153206@超大型積體電路設計導論@1@1,4153208@控制系統@1@1,4153211@電腦網路導論@1@1,4153214@數據通訊@1@1,4153219@電力電子導論@1@1,4153244@工程倫理@1@1,4153250@類比積體電路設計導論@1@1,4153255@演算法導論@1@1,4153913@離散數學@1@1,4153916@多媒體系統導論@1@1,4153918@電磁科技導論@1@1,4153919@影像處理導論@1@1,4152201@資料結構@2@1,4153013@數位訊號處理實驗@2@1,4153014@IC設計實驗@2@1,4153015@微處理機實驗@2@1,4153016@通訊系統實驗@2@1,4153018@電腦網路實驗@2@1,4153207@電磁波@2@1,4153209@計算機結構@2@1,4153213@數位訊號處理導論@2@1,4153218@自動控制系統設計@2@1,4153228@綠色能源專題（一）@2@1,4153234@智慧型系統專題製作（一）@2@1,4153251@通訊系統專題（一）@2@1,4153301@作業系統導論@2@1,4153306@數位訊號處理專題（一）@2@1,4153307@網路技術與應用專題（一）@2@1,4153308@能源與電力系統專題（一）@2@1,4153906@數位通訊導論@2@1,4154022@電力系統@2@1,4154028@超大型積體電路專題（一）@2@1,4154102@電力與能源設備檢驗實務@2@1
403415004,64,49,NaN,NaN,NaN,NaN,67,NaN,75,62,NaN,69,NaN,NaN,NaN,NaN,93,NaN,81,48,NaN,75,NaN,75,NaN,NaN,51,NaN,NaN,61,-1,NaN,-1,50,74,NaN,NaN,53,12,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,NaN,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403415006,NaN,96,NaN,NaN,100,NaN,91,NaN,NaN,100,NaN,NaN,NaN,96,NaN,99,93,NaN,90,89,NaN,95,91,NaN,90,99,87,NaN,88,-1,95,NaN,96,NaN,90,NaN,NaN,98,98,NaN,NaN,100,NaN,NaN,98,92,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,92,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN
403415008,69,51,NaN,NaN,44,NaN,NaN,69,NaN,78,NaN,58,NaN,71,NaN,NaN,NaN,93,79,60,62,NaN,NaN,79,NaN,NaN,64,71,NaN,79,NaN,65,83,NaN,81,NaN,-1,62,NaN,61,-1,NaN,NaN,NaN,NaN,NaN,77,NaN,NaN,77,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
403415010,NaN,98,NaN,NaN,NaN,94,94,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,91,94,NaN,94,80,99,NaN,NaN,93,94,82,84,NaN,95,99,NaN,85,NaN,100,NaN,97,89,74,89,NaN,-1,85,NaN,NaN,87,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,88,100,97,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
403415012,NaN,60,NaN,NaN,NaN,55,NaN,65,NaN,67,NaN,82,NaN,NaN,NaN,70,93,NaN,63,60,81,NaN,83,NaN,73,NaN,74,NaN,66,66,NaN,70,NaN,84,NaN,83,71,62,70,NaN,-1,57,-1,NaN,73,NaN,NaN,NaN,NaN,75,86,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
403415014,NaN,82,NaN,NaN,63,NaN,71,NaN,NaN,67,NaN,NaN,NaN,70,NaN,60,92,NaN,72,62,56,49,88,NaN,76,64,62,NaN,NaN,76,63,NaN,93,NaN,83,NaN,-1,68,61,NaN,-1,-1,NaN,NaN,NaN,NaN,64,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN
403415016,NaN,71,NaN,NaN,85,NaN,72,NaN,NaN,NaN,77,NaN,85,NaN,NaN,82,93,NaN,82,78,75,NaN,91,NaN,74,80,85,63,NaN,93,91,NaN,NaN,100,82,NaN,NaN,72,83,NaN,-1,89,NaN,NaN,89,NaN,NaN,89,NaN,84,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN
403415018,NaN,60,NaN,NaN,NaN,45,72,NaN,74,64,NaN,NaN,NaN,66,NaN,56,NaN,91,71,63,NaN,73,72,NaN,NaN,69,60,NaN,NaN,70,NaN,60,NaN,82,NaN,91,79,67,50,-1,NaN,NaN,NaN,NaN,60,NaN,74,NaN,61,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN
403415020,NaN,65,NaN,NaN,NaN,NaN,NaN,68,79,66,NaN,NaN,NaN,77,NaN,-1,NaN,92,82,38,NaN,60,NaN,70,NaN,41,60,NaN,78,64,40,NaN,91,NaN,NaN,82,NaN,61,64,NaN,NaN,42,NaN,NaN,61,NaN,NaN,NaN,NaN,60,75,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN
403415022,NaN,65,NaN,NaN,NaN,60,82,NaN,68,60,NaN,NaN,NaN,72,NaN,87,92,NaN,76,81,88,NaN,78,NaN,NaN,60,82,NaN,71,92,NaN,84,NaN,100,NaN,88,82,61,75,NaN,-1,83,NaN,NaN,85,81,NaN,71,89,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN
