id,4151004@計算機概論@1@1,4151004@計算機概論@1@2,4151888@學系服務學習@1@1,4151888@學系服務學習@1@2,4152011@邏輯設計@1@1,4152011@邏輯設計@1@2,4152012@邏輯設計實驗@1@1,4152012@邏輯設計實驗@1@2,4151008@程式設計@2@1,4151008@程式設計@2@2,4151010@程式設計實習@2@1,4151010@程式設計實習@2@2,4151010@程式設計實習@2@3,4151010@程式設計實習@2@4,4151011@線性代數@2@1,4151888@學系服務學習@2@1,4151888@學系服務學習@2@2,4152019@電機工程導論@2@1,4152004@電路學（一）@1@1,4152006@電子學（一）@1@1,4152006@電子學（一）@1@2,4152009@電工實驗（一）@1@1,4152009@電工實驗（一）@1@2,4152014@FPGA數位設計實驗@1@1,4152014@FPGA數位設計實驗@1@2,4152017@數位系統設計@1@1,4152018@微分方程@1@1,4152201@資料結構@1@1,4152201@資料結構@1@2,4153204@微處理機@1@1,4152005@電路學（二）@2@1,4152007@電子學（二）@2@1,4152007@電子學（二）@2@2,4152008@電磁學（一）@2@1,4152008@電磁學（一）@2@2,4152010@電工實驗（二）@2@1,4152010@電工實驗（二）@2@2,4152801@再生能源導論@2@1,4153011@機率@2@1,4153201@訊號與系統@2@1,4153201@訊號與系統@2@2,4153901@計算機組織@2@1,4153901@計算機組織@2@2,4153002@電磁學（二）@1@1,4153203@通訊原理@1@1,4153205@電機機械@1@1,4153206@超大型積體電路設計導論@1@1,4153208@控制系統@1@1,4153211@電腦網路導論@1@1,4153214@數據通訊@1@1,4153219@電力電子導論@1@1,4153244@工程倫理@1@1,4153913@離散數學@1@1,4153916@多媒體系統導論@1@1,4153918@電磁科技導論@1@1,4153919@影像處理導論@1@1,4153013@數位訊號處理實驗@2@1,4153014@IC設計實驗@2@1,4153015@微處理機實驗@2@1,4153016@通訊系統實驗@2@1,4153017@電磁工程實驗@2@1,4153018@電腦網路實驗@2@1,4153207@電磁波@2@1,4153209@計算機結構@2@1,4153213@數位訊號處理導論@2@1,4153218@自動控制系統設計@2@1,4153228@綠色能源專題（一）@2@1,4153234@智慧型系統專題製作（一）@2@1,4153244@工程倫理@2@1,4153251@通訊系統專題（一）@2@1,4153252@電磁積體電路專題（一）@2@1,4153301@作業系統導論@2@1,4153306@數位訊號處理專題（一）@2@1,4153307@網路技術與應用專題（一）@2@1,4153308@能源與電力系統專題（一）@2@1,4153906@數位通訊導論@2@1,4154022@電力系統@2@1,4154028@超大型積體電路專題（一）@2@1,4152015@工數（三）︰複變@1@1,4153250@類比積體電路設計導論@1@1,4153255@演算法導論@1@1,4153304@電磁積體電路專題（二）@1@1,4154035@數位訊號處理專題（二）@1@1,4154036@超大型積體電路專題（二）@1@1,4154038@網路技術與應用專題（二）@1@1,4154039@通訊系統專題（二）@1@1,4154040@綠色能源專題（二）@1@1,4154041@能源與電力系統專題(二)@1@1,4152201@資料結構@2@1,4154102@電力與能源設備檢驗實務@2@1
402415029,89,NaN,90,NaN,60,NaN,84,NaN,NaN,78,NaN,NaN,NaN,87,69,NaN,NaN,73,60,73,NaN,87,NaN,NaN,87,72,70,NaN,82,91,90,NaN,75,NaN,72,NaN,80,73,65,63,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,81,74,NaN,93,86,NaN,NaN,NaN,NaN,NaN,NaN,80,79,NaN,NaN,NaN,NaN,NaN,NaN,72,93,NaN,NaN,42,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415030,77,NaN,NaN,NaN,NaN,66,NaN,88,69,NaN,79,NaN,NaN,NaN,72,80,NaN,70,60,NaN,60,87,NaN,81,NaN,32,42,NaN,60,73,50,-1,10,69,NaN,62,NaN,69,45,NaN,61,NaN,68,NaN,67,NaN,NaN,NaN,60,69,NaN,84,NaN,70,NaN,91,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
402415031,63,NaN,90,NaN,43,66,61,NaN,NaN,63,NaN,79,NaN,NaN,60,NaN,NaN,71,60,60,NaN,64,NaN,NaN,83,NaN,62,NaN,64,71,73,NaN,61,87,NaN,NaN,68,76,66,NaN,60,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,43,NaN,69,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415035,94,NaN,90,NaN,90,NaN,NaN,93,83,NaN,93,NaN,NaN,NaN,79,NaN,NaN,76,75,91,NaN,NaN,86,80,NaN,80,70,87,NaN,78,91,NaN,73,94,NaN,NaN,82,83,68,NaN,85,93,NaN,NaN,77,NaN,NaN,69,NaN,83,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,83,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415038,85,NaN,NaN,NaN,NaN,80,NaN,94,NaN,86,NaN,NaN,NaN,93,90,NaN,90,78,64,99,NaN,90,NaN,92,NaN,98,84,NaN,84,NaN,97,NaN,85,96,NaN,NaN,94,NaN,67,88,NaN,NaN,NaN,NaN,96,85,NaN,89,NaN,NaN,99,94,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,-1
402415039,71,NaN,NaN,88,62,NaN,67,NaN,69,NaN,NaN,NaN,75,NaN,66,NaN,NaN,72,60,60,NaN,80,NaN,81,NaN,62,65,63,18,NaN,77,NaN,67,NaN,73,NaN,81,63,62,NaN,75,NaN,NaN,83,NaN,NaN,82,NaN,NaN,NaN,67,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,90,NaN,80,NaN,NaN,NaN,NaN,NaN,87,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415041,82,NaN,NaN,88,NaN,92,76,NaN,NaN,86,NaN,88,NaN,NaN,78,NaN,NaN,74,61,60,NaN,NaN,83,NaN,92,69,62,NaN,72,85,69,82,50,77,NaN,NaN,68,68,51,NaN,60,76,NaN,NaN,68,NaN,NaN,NaN,82,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,77,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,92,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN
402415042,64,NaN,NaN,NaN,54,55,72,NaN,60,NaN,NaN,NaN,60,NaN,60,NaN,80,71,11,54,46,62,NaN,NaN,80,NaN,58,NaN,60,NaN,NaN,60,NaN,67,NaN,NaN,66,61,36,NaN,28,58,50,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415043,74,NaN,90,NaN,64,NaN,NaN,83,NaN,67,NaN,NaN,NaN,74,46,NaN,NaN,68,60,54,70,NaN,71,80,NaN,29,62,27,NaN,NaN,-1,61,NaN,80,NaN,75,NaN,66,55,NaN,87,NaN,76,NaN,NaN,80,NaN,70,69,NaN,71,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,-1
402415047,66,NaN,NaN,88,63,NaN,NaN,81,60,NaN,NaN,NaN,62,NaN,75,NaN,NaN,71,60,49,81,NaN,80,82,NaN,63,75,NaN,61,NaN,68,70,40,90,NaN,80,NaN,76,60,NaN,60,-1,NaN,60,NaN,60,NaN,63,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,-1,NaN,NaN,90,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,-1
402415052,61,NaN,NaN,NaN,50,NaN,NaN,66,78,54,64,NaN,NaN,NaN,60,NaN,90,71,60,42,60,68,NaN,79,NaN,NaN,60,NaN,64,NaN,NaN,71,50,NaN,60,77,NaN,65,60,NaN,60,-1,NaN,NaN,77,NaN,NaN,NaN,62,NaN,73,86,NaN,62,NaN,75,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,90,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415054,60,NaN,NaN,NaN,57,NaN,NaN,72,0,NaN,51,NaN,NaN,NaN,4,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415057,68,NaN,90,NaN,60,NaN,NaN,76,60,NaN,69,NaN,NaN,NaN,60,NaN,NaN,67,60,60,NaN,86,NaN,81,NaN,32,65,60,NaN,NaN,64,-1,NaN,NaN,60,NaN,77,67,40,NaN,66,NaN,65,67,45,NaN,NaN,49,NaN,NaN,70,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,93,NaN,68,NaN,-1,NaN,NaN,NaN,83,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415061,71,NaN,NaN,88,70,NaN,72,NaN,60,NaN,NaN,NaN,63,NaN,79,NaN,NaN,70,60,77,NaN,NaN,76,NaN,84,70,68,NaN,60,NaN,92,NaN,78,NaN,82,NaN,91,85,60,NaN,67,NaN,73,NaN,89,70,NaN,83,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,90,NaN,91,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN
402415063,61,NaN,90,NaN,NaN,61,NaN,78,65,NaN,NaN,NaN,83,NaN,61,NaN,NaN,76,36,61,NaN,78,NaN,NaN,90,NaN,62,NaN,71,71,62,-1,30,60,52,67,NaN,-1,60,-1,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,72,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,75,77,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415067,73,NaN,90,NaN,NaN,62,74,NaN,85,NaN,NaN,NaN,64,NaN,57,NaN,NaN,75,15,NaN,60,70,NaN,81,NaN,60,63,73,52,81,78,60,40,82,NaN,77,NaN,64,43,NaN,60,64,NaN,NaN,NaN,NaN,NaN,63,NaN,67,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,92,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415068,78,NaN,NaN,NaN,68,NaN,64,NaN,65,51,NaN,85,NaN,NaN,60,NaN,90,69,60,NaN,60,NaN,62,NaN,81,46,62,82,NaN,62,69,NaN,63,79,NaN,62,NaN,67,52,NaN,79,NaN,68,NaN,NaN,75,NaN,69,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,70,92,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN
402415077,81,NaN,NaN,88,75,NaN,NaN,73,NaN,73,NaN,73,NaN,NaN,75,NaN,NaN,75,77,88,NaN,72,NaN,81,NaN,65,80,82,NaN,NaN,87,NaN,84,NaN,72,NaN,75,NaN,69,NaN,91,NaN,86,NaN,NaN,78,81,78,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN
402415078,73,NaN,NaN,NaN,68,NaN,60,NaN,NaN,60,NaN,74,NaN,NaN,48,NaN,90,63,42,NaN,60,NaN,72,NaN,81,60,60,0,NaN,NaN,44,NaN,-1,83,NaN,65,NaN,60,32,NaN,60,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415080,71,NaN,NaN,NaN,66,NaN,63,NaN,NaN,70,NaN,NaN,NaN,78,60,NaN,90,69,26,53,72,75,NaN,NaN,83,61,64,64,NaN,NaN,NaN,62,NaN,74,NaN,77,NaN,70,60,NaN,72,69,NaN,NaN,NaN,NaN,NaN,NaN,63,78,NaN,81,74,71,NaN,89,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,NaN,-1,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415082,70,NaN,NaN,NaN,NaN,71,NaN,76,67,NaN,71,NaN,NaN,NaN,67,NaN,80,68,69,54,75,NaN,74,NaN,86,70,65,77,51,NaN,74,77,NaN,87,NaN,61,NaN,NaN,62,NaN,70,NaN,72,NaN,NaN,NaN,83,71,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,77,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,-1
402415085,74,NaN,90,NaN,60,NaN,NaN,85,NaN,69,NaN,87,NaN,NaN,78,NaN,NaN,72,60,83,NaN,77,NaN,82,NaN,71,70,NaN,70,NaN,85,NaN,68,NaN,86,81,NaN,NaN,64,74,NaN,NaN,93,NaN,NaN,NaN,88,93,NaN,NaN,96,NaN,NaN,NaN,99,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,98,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,90,97,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN
402415086,94,NaN,NaN,NaN,NaN,81,NaN,97,80,NaN,NaN,NaN,86,NaN,68,90,NaN,69,92,72,NaN,91,NaN,NaN,93,77,73,NaN,86,89,NaN,NaN,72,94,NaN,NaN,78,78,62,NaN,82,100,NaN,NaN,69,NaN,NaN,83,92,85,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,92,NaN,NaN,-1,NaN,90,NaN,NaN,NaN,90,89,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415005,NaN,78,NaN,88,93,NaN,65,NaN,82,NaN,NaN,NaN,72,NaN,85,NaN,NaN,77,74,99,NaN,85,NaN,NaN,87,85,81,NaN,82,NaN,98,NaN,84,NaN,85,92,NaN,82,76,93,NaN,97,NaN,NaN,87,NaN,NaN,NaN,90,NaN,NaN,NaN,93,95,NaN,93,89,NaN,NaN,NaN,NaN,NaN,NaN,92,91,NaN,NaN,NaN,89,NaN,NaN,NaN,95,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402415006,82,51,NaN,NaN,60,NaN,NaN,70,60,NaN,65,NaN,NaN,NaN,72,80,NaN,64,60,62,NaN,65,NaN,NaN,82,60,60,NaN,60,NaN,65,70,50,84,NaN,NaN,79,64,56,NaN,61,NaN,NaN,NaN,76,67,NaN,60,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,80,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,-1
402415009,NaN,73,NaN,88,75,NaN,64,NaN,62,NaN,NaN,NaN,61,NaN,66,NaN,NaN,68,60,65,NaN,72,NaN,NaN,90,60,64,NaN,65,84,60,-1,NaN,88,NaN,NaN,70,63,56,NaN,79,NaN,64,NaN,0,NaN,NaN,NaN,55,NaN,NaN,80,88,75,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,80,NaN,NaN,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
