id,2605202@有機合成（二）@1@1,2605237@生化分子@1@1,2605266@有機反應與機制@1@1,2605307@高等無機化學@1@1,2605317@固態化學@1@1,2605417@高等量子化學@1@1,2605441@光譜應用（一）@1@1,2605507@光譜化學分析與化學計量學@1@1,2605527@分離方法@1@1,2605707@奈米材料科學@1@1,2605717@工業觸媒化學@1@1,2605901@有機化學書報討論（一）@1@1,2605905@無機化學書報討論（一）@1@1,2605909@物理化學書報討論（一）@1@1,2605913@分析化學書報討論（一）@1@1,2605914@分析化學書報討論（三）@1@1,2605211@高等有機化學（一）@2@1,2605242@有機光譜分析化學（二）@2@1,2605256@高等有機合成@2@1,2605269@藥物生化@2@1,2605328@有機金屬化學@2@1,2605338@無機光譜化學@2@1,2605421@化學動力學（一）@2@1,2605457@計算化學@2@1,2605519@電分析與感測器@2@1,2605531@生物分析化學（一）@2@1,2605728@應用化學專論@2@1,2605921@有機化學書報討論（二）@2@1,2605925@無機化學書報討論（二）@2@1,2605929@物理化學書報討論（二）@2@1,2605933@分析化學書報討論（二）@2@1,2605934@分析化學書報討論（四）@2@1,2605338@無機光譜化學@1@1,2605531@生物分析化學（一）@1@1,2605902@有機化學書報討論（三）@1@1,2605906@無機化學書報討論（三）@1@1,2605910@物理化學書報討論（三）@1@1,2605302@高等無機化學（二）@2@1,2605442@光譜應用（二）@2@1,2605527@分離方法@2@1,2605707@奈米材料科學@2@1,2605922@有機化學書報討論（四）@2@1,2605926@無機化學書報討論（四）@2@1,2605930@物理化學書報討論（四）@2@1
602260007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,88,NaN,95,NaN,NaN,NaN,81,85,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,84,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602260008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,98,NaN,NaN,NaN,NaN,NaN,91,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,91,NaN,NaN,NaN,NaN,85,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602260010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,79,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,73,NaN,NaN,NaN,NaN,82,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602260017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,98,NaN,90,NaN,NaN,NaN,81,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,78,NaN,NaN,NaN,NaN,81,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602260025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,75,NaN,90,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,76,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN
602260065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,76,NaN,79,NaN,NaN,NaN,82,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,79,NaN,NaN,NaN,NaN,77,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602260075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,93,NaN,90,NaN,NaN,NaN,83,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,74,NaN,NaN,NaN,NaN,81,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602260077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,66,NaN,70,NaN,NaN,NaN,78,80,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,70,70,NaN,NaN,NaN,NaN,78,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602260082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77,77,NaN,79,NaN,NaN,NaN,72,83,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,78,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602260083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,84,NaN,82,NaN,NaN,NaN,78,82,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,80,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602260085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,80,NaN,88,NaN,NaN,NaN,77,80,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,78,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602260004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602260005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,85,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602260086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,85,86,70,50,30,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,85,NaN,NaN,86,79,NaN,81,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN
602260081,79,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,86,NaN,NaN,NaN,NaN,79,77,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN
602260072,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,70,NaN,84,NaN,NaN,NaN,NaN,NaN,40,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,80,NaN,NaN,76,NaN,NaN,NaN,NaN,76,NaN,78,NaN
602260079,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,73,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,92,NaN,NaN,89,NaN,95,NaN,NaN,87,NaN,79,NaN
602260084,NaN,NaN,NaN,74,54,80,82,NaN,NaN,NaN,70,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,63,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,55,NaN,NaN,NaN,80,53,47,NaN,NaN,NaN,NaN,89
