id,3201001@勞工關係@1@1,3201002@社會學@1@1,3201003@經濟學@1@1,3201015@企業概論@1@1,3201888@學系服務學習@1@1,3201007@民法概論@2@1,3201008@政治學@2@1,3201023@人力資源管理@2@1,3201024@個體經濟學@2@1,3201027@勞工關係實用英語@2@1,3201888@學系服務學習@2@1,3202030@勞工保險理論與實務@2@1,3203050@全球化與勞動@2@1,3202021@組織行為@1@1,3202031@就業安全理論與實務@1@1,3202035@勞動法概論@1@1,3202038@人力資源發展@1@1,3202039@總體經濟學@1@1,3203001@集體協商@1@1,3203032@勞資談判@1@1,3203043@國際勞工運動@1@1,3203051@比較勞工關係@1@1,3203054@行政法@1@1,3201025@勞動市場與就業專題討論@2@1,3202004@勞動基準法@2@1,3202026@勞工運動理論@2@1,3202037@統計學@2@1,3202041@企業倫理@2@1,3203031@勞資爭議處理@2@1,3203033@勞工政策@2@1,3203047@績效考核與管理@2@1,3201024@個體經濟學@1@1,3202032@性別與工作@1@1,3202043@勞工互助與合作@1@1,3203002@勞動經濟學@1@1,3203029@薪資福利管理@1@1,3203041@社會科學統計應用@1@1,3203053@國際人力資源管理@1@1,3203055@勞保給付、爭議與救濟@1@1,3202034@組織理論@2@1,3202035@勞動法概論@2@1,3202039@總體經濟學@2@1,3203043@國際勞工運動@2@1,3203044@研究方法@2@1,3203056@人力資源經濟分析@2@1,3203057@人力資源管理與勞工關係之競合@2@1,3202040@職業安全衛生法規@1@1,3202044@勞工教育與職業訓練@1@1,3204001@論文撰寫@1@1,3204001@論文撰寫@1@2,3202032@性別與工作@2@1,3203058@高齡社會導論@2@1,3203059@國際遷移與勞動人權@2@1
402320040,72,88,89,79,NaN,65,89,78,81,NaN,88,-1,NaN,88,85,66,NaN,93,88,81,NaN,NaN,NaN,86,67,NaN,84,87,81,83,81,NaN,NaN,NaN,100,90,91,NaN,80,87,NaN,NaN,NaN,87,84,NaN,85,NaN,86,NaN,NaN,NaN,NaN
402320041,70,83,87,77,95,72,80,72,79,NaN,NaN,NaN,NaN,89,85,65,87,NaN,87,85,NaN,90,NaN,87,68,NaN,78,79,-1,-1,NaN,NaN,NaN,NaN,91,86,80,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,82,NaN,90,NaN,NaN,NaN
402320042,71,85,90,68,NaN,63,60,69,68,72,82,-1,80,69,82,73,NaN,NaN,87,82,NaN,NaN,53,86,73,NaN,84,NaN,75,81,NaN,NaN,NaN,NaN,82,82,85,NaN,NaN,76,NaN,NaN,NaN,82,77,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN
402320043,77,87,85,72,90,66,82,83,NaN,NaN,NaN,90,NaN,83,87,71,NaN,90,87,85,NaN,NaN,NaN,88,69,NaN,85,NaN,86,84,78,NaN,NaN,NaN,98,84,87,NaN,NaN,75,NaN,NaN,NaN,88,NaN,NaN,80,NaN,90,NaN,NaN,NaN,NaN
402320044,71,86,97,77,NaN,58,73,80,95,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402320046,70,84,64,76,NaN,60,63,79,71,NaN,86,61,NaN,70,89,60,NaN,76,80,80,NaN,NaN,NaN,87,63,NaN,71,84,75,89,82,NaN,NaN,NaN,91,78,82,NaN,77,NaN,NaN,NaN,NaN,88,90,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN
402320047,70,89,92,77,97,64,84,84,86,77,NaN,81,NaN,78,84,69,NaN,92,85,77,NaN,NaN,NaN,87,66,NaN,88,NaN,90,82,87,NaN,NaN,NaN,91,87,95,NaN,NaN,83,NaN,NaN,NaN,90,NaN,NaN,81,NaN,88,NaN,NaN,NaN,NaN
402320048,63,76,60,74,NaN,66,73,62,NaN,76,87,82,NaN,84,89,65,NaN,NaN,78,71,92,NaN,NaN,NaN,69,NaN,85,NaN,75,86,78,NaN,NaN,NaN,93,79,90,NaN,NaN,84,NaN,NaN,NaN,88,84,NaN,91,NaN,86,NaN,NaN,-1,NaN
402320049,68,70,84,67,62,62,77,-1,65,NaN,NaN,60,NaN,74,87,63,NaN,NaN,85,67,70,81,NaN,52,60,80,64,NaN,60,-1,63,NaN,NaN,NaN,89,75,86,NaN,68,NaN,NaN,76,NaN,87,-1,NaN,86,80,NaN,65,NaN,NaN,NaN
402320050,71,74,60,71,NaN,62,73,65,54,NaN,80,-1,NaN,67,NaN,67,NaN,64,75,66,80,NaN,NaN,53,60,72,72,74,70,-1,68,73,NaN,NaN,61,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,89,-1,NaN,72,80,NaN,68,-1,NaN,NaN
402320051,62,81,89,72,90,73,87,78,81,82,NaN,-1,NaN,89,NaN,66,NaN,85,81,NaN,NaN,89,NaN,91,72,82,97,88,84,86,82,NaN,NaN,NaN,89,NaN,90,88,NaN,90,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN
402320052,66,82,78,79,NaN,89,72,76,NaN,75,87,-1,80,78,85,70,NaN,NaN,79,81,NaN,85,NaN,NaN,70,NaN,79,NaN,74,80,NaN,NaN,NaN,NaN,91,76,79,76,NaN,84,NaN,NaN,NaN,91,NaN,NaN,75,NaN,NaN,86,NaN,NaN,NaN
402320053,73,87,91,79,95,69,82,82,75,82,NaN,89,NaN,88,84,73,NaN,92,84,88,NaN,NaN,71,91,70,NaN,85,NaN,75,87,81,NaN,NaN,88,100,NaN,86,92,70,NaN,NaN,NaN,NaN,86,87,NaN,95,NaN,89,NaN,NaN,NaN,NaN
402320054,88,85,83,86,NaN,66,-1,NaN,NaN,84,80,NaN,NaN,76,88,60,83,NaN,80,83,NaN,88,NaN,NaN,60,NaN,62,84,-1,77,NaN,NaN,NaN,83,77,75,81,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,81,NaN,89,NaN,NaN,NaN
402320055,80,89,76,NaN,NaN,73,80,-1,NaN,71,85,NaN,NaN,81,89,69,NaN,NaN,80,90,NaN,NaN,NaN,NaN,66,80,69,84,87,88,73,NaN,85,NaN,90,NaN,84,NaN,82,NaN,NaN,NaN,NaN,87,85,NaN,89,85,NaN,86,NaN,NaN,NaN
402320056,60,84,86,NaN,90,60,73,-1,NaN,79,NaN,NaN,NaN,65,87,67,NaN,NaN,83,NaN,NaN,82,NaN,NaN,66,75,63,82,78,85,60,NaN,82,NaN,89,88,96,NaN,NaN,NaN,NaN,82,NaN,87,-1,NaN,78,86,NaN,84,NaN,NaN,NaN
