id,4201002@應用力學（一）@1@1,4201003@工場實習（一）@1@1,4201003@工場實習（一）@1@2,4201101@工程圖學（一）@1@1,4201101@工程圖學（一）@1@2,4201888@學系服務學習@1@1,4201888@學系服務學習@1@2,4201051@應用力學（二）@2@1,4201052@工場實習（二）@2@1,4201052@工場實習（二）@2@2,4201151@工程圖學（二）@2@1,4201151@工程圖學（二）@2@2,4201888@學系服務學習@2@1,4201888@學系服務學習@2@2,4202001@工程數學（一）@1@1,4202002@物件導向程式設計@1@1,4202101@機動學@1@1,4202301@材料力學（一）@1@1,4202402@工程材料@1@1,4202501@熱力學（一）@1@1,4201151@工程圖學（二）@2@3,4202051@工程數學（二）@2@1,4202053@視窗程式設計@2@1,4202054@實驗方法與量測理論@2@1,4202251@機械製造@2@1,4202352@材料力學（二）@2@1,4202553@熱力學（二）@2@1,4202751@電子電路學（一）@2@1,4202751@電子電路學（一）@2@2,4203066@專題研究B（二）@2@1,4203602@流體力學（一）@2@1,4203002@材料與力學實驗@1@1,4203002@材料與力學實驗@1@2,4203003@專題研究A（一）@1@1,4203004@專題研究B（一）@1@1,4203006@專題研究D（一）@1@1,4203104@機械設計@1@1,4203302@電腦輔助工程分析與創新設計@1@1,4203601@流體力學（二）@1@1,4203702@電子電路學（二）@1@1,4203751@自動控制（一）@1@1,4203751@自動控制（一）@1@2,4204016@精密工具機技術@1@1,4204017@專利寫作理論與實務@1@1,4204110@觸感式手術模擬與醫學應用@1@1,4204251@數值方法@1@1,4204703@嵌入式控制器設計@1@1,4203062@熱工與流力實驗@2@1,4203062@熱工與流力實驗@2@2,4203068@專題研究D（二）@2@1,4203105@機械設計實習@2@1,4203551@熱傳學@2@1,4203752@自動控制（二）@2@1,4203754@訊號與影像處理導論@2@1,4203952@工程光學@2@1,4204054@專利侵害鑑定理論與實務@2@1,4204159@創意工程設計@2@1,4204353@電腦輔助工程分析與實務運用@2@1,4203005@專題研究C（一）@1@1,4203104@機械設計@1@2,4204012@自動控制實驗@1@1,4204012@自動控制實驗@1@2,4204014@機械工程與綠色科技@1@1,4204015@工具機概論@1@1,4204109@機電整合與應用@1@1,4204301@應用光學與實務@1@1,4203067@專題研究C（二）@2@1,4203151@機器動力學@2@1,4203351@機械振動學@2@1,4204353@電腦輔助工程分析與實務運用@1@1
401420085,60,NaN,88,NaN,63,NaN,92,66,60,NaN,NaN,78,NaN,NaN,60,NaN,60,77,68,75,NaN,60,NaN,87,74,83,73,NaN,74,NaN,63,84,NaN,NaN,NaN,NaN,88,NaN,84,73,71,NaN,NaN,70,NaN,NaN,74,76,NaN,NaN,NaN,83,69,72,NaN,81,NaN,NaN,NaN,NaN,NaN,73,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401420086,73,NaN,86,NaN,82,NaN,NaN,60,NaN,80,NaN,88,NaN,87,72,60,65,65,70,61,NaN,60,NaN,60,67,45,60,73,NaN,NaN,73,86,NaN,63,NaN,NaN,75,88,NaN,71,NaN,68,NaN,NaN,NaN,NaN,86,NaN,76,NaN,78,NaN,60,76,66,NaN,74,NaN,NaN,NaN,NaN,67,93,73,65,83,NaN,NaN,NaN,NaN
401420087,77,84,NaN,80,NaN,87,NaN,69,60,NaN,76,NaN,NaN,NaN,80,NaN,93,73,78,68,NaN,61,NaN,68,60,81,NaN,NaN,60,NaN,80,NaN,86,83,NaN,NaN,79,NaN,NaN,81,NaN,72,NaN,NaN,NaN,95,NaN,NaN,74,82,NaN,NaN,83,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,69,90,71,81,NaN,NaN,NaN,86,NaN
401420088,64,NaN,84,NaN,61,NaN,NaN,60,60,NaN,NaN,62,NaN,75,64,74,69,81,71,70,NaN,68,NaN,NaN,80,77,71,89,NaN,NaN,65,84,NaN,NaN,NaN,NaN,78,92,83,78,NaN,73,NaN,70,NaN,NaN,NaN,76,NaN,NaN,88,75,NaN,79,NaN,79,NaN,93,NaN,NaN,64,NaN,90,NaN,NaN,83,NaN,70,NaN,NaN
401420089,75,91,NaN,NaN,67,NaN,89,60,62,NaN,NaN,75,NaN,NaN,100,60,71,70,84,79,NaN,78,92,60,81,68,52,93,48,NaN,61,NaN,84,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,71,NaN,83,NaN,NaN,81,74,NaN,NaN,NaN,NaN,41,85,70,87,77,NaN,NaN,NaN,NaN,64,90,84,63,NaN,NaN,NaN,NaN,NaN
401420090,70,NaN,86,NaN,76,NaN,NaN,60,71,NaN,NaN,74,NaN,75,73,74,79,76,61,70,NaN,60,NaN,NaN,60,69,60,72,NaN,NaN,76,83,NaN,90,NaN,NaN,70,NaN,77,60,64,NaN,NaN,77,NaN,NaN,60,73,NaN,NaN,79,64,38,62,NaN,82,NaN,NaN,NaN,NaN,70,NaN,92,NaN,NaN,NaN,NaN,69,60,NaN
401420091,62,NaN,87,68,NaN,89,NaN,64,NaN,76,73,NaN,NaN,NaN,60,69,89,67,76,62,NaN,60,NaN,NaN,63,78,66,NaN,69,82,85,86,NaN,83,NaN,NaN,87,NaN,NaN,83,NaN,82,NaN,86,NaN,NaN,NaN,NaN,78,NaN,91,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,NaN,82,NaN,NaN,NaN,82,71,NaN
401420093,62,86,NaN,NaN,65,NaN,95,70,60,NaN,81,NaN,NaN,NaN,85,88,76,68,77,65,NaN,70,NaN,NaN,65,78,60,78,NaN,18,79,NaN,88,NaN,NaN,64,82,NaN,NaN,NaN,71,NaN,NaN,76,NaN,NaN,NaN,NaN,81,93,82,73,49,74,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,91,NaN,64,NaN,NaN,70,50,NaN
401420094,77,NaN,89,NaN,74,NaN,NaN,60,NaN,85,NaN,87,91,NaN,71,74,75,94,73,70,NaN,61,NaN,NaN,75,79,64,NaN,80,NaN,86,86,NaN,NaN,NaN,NaN,85,NaN,NaN,96,NaN,74,87,72,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,76,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69,89,NaN,NaN,87,NaN,78,98,NaN
401420095,61,76,NaN,NaN,64,NaN,89,60,60,NaN,NaN,66,NaN,NaN,60,NaN,70,77,63,64,NaN,60,NaN,80,60,79,NaN,NaN,60,NaN,79,86,NaN,NaN,NaN,NaN,83,NaN,NaN,62,72,NaN,NaN,70,NaN,NaN,64,NaN,72,NaN,NaN,NaN,65,70,NaN,79,86,NaN,NaN,NaN,NaN,75,88,72,NaN,77,NaN,NaN,NaN,NaN
