id,4201002@應用力學（一）@1@1,4201003@工場實習（一）@1@1,4201003@工場實習（一）@1@2,4201101@工程圖學（一）@1@1,4201101@工程圖學（一）@1@2,4201888@學系服務學習@1@1,4201888@學系服務學習@1@2,4202002@物件導向程式設計@1@1,4201051@應用力學（二）@2@1,4201052@工場實習（二）@2@1,4201052@工場實習（二）@2@2,4201151@工程圖學（二）@2@1,4201151@工程圖學（二）@2@2,4201151@工程圖學（二）@2@3,4201888@學系服務學習@2@1,4201888@學系服務學習@2@2,4202001@工程數學（一）@1@1,4202101@機動學@1@1,4202301@材料力學（一）@1@1,4202402@工程材料@1@1,4202501@熱力學（一）@1@1,4202051@工程數學（二）@2@1,4202053@視窗程式設計@2@1,4202251@機械製造@2@1,4202352@材料力學（二）@2@1,4202553@熱力學（二）@2@1,4202751@電子電路學（一）@2@1,4202751@電子電路學（一）@2@2,4203065@專題研究A(二)@2@1,4203602@流體力學（一）@2@1,4203002@材料與力學實驗@1@1,4203002@材料與力學實驗@1@2,4203003@專題研究A（一）@1@1,4203004@專題研究B（一）@1@1,4203005@專題研究C（一）@1@1,4203006@專題研究D（一）@1@1,4203104@機械設計@1@1,4203601@流體力學（二）@1@1,4203702@電子電路學（二）@1@1,4203751@自動控制（一）@1@1,4203751@自動控制（一）@1@2,4204016@精密工具機技術@1@1,4204017@專利寫作理論與實務@1@1,4204353@電腦輔助工程分析與實務運用@1@1,4204703@嵌入式控制器設計@1@1,4202054@實驗方法與量測理論@2@1,4203062@熱工與流力實驗@2@1,4203062@熱工與流力實驗@2@2,4203067@專題研究C（二）@2@1,4203068@專題研究D（二）@2@1,4203151@機器動力學@2@1,4203351@機械振動學@2@1,4203551@熱傳學@2@1,4203752@自動控制（二）@2@1,4203754@訊號與影像處理導論@2@1,4203755@機電專題實作(一)@2@1,4203755@機電專題實作(一)@2@2,4203952@工程光學@2@1,4204159@創意工程設計@2@1
403420032,86,NaN,79,NaN,76,NaN,NaN,89,83,94,NaN,76,NaN,NaN,90,NaN,68,82,93,89,91,93,NaN,87,88,77,NaN,95,-1,98,89,NaN,91,NaN,NaN,NaN,69,91,82,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN
403420033,67,88,NaN,78,NaN,NaN,74,88,-1,NaN,92,88,NaN,NaN,NaN,NaN,87,75,80,77,71,87,NaN,73,-1,75,NaN,89,NaN,65,NaN,88,NaN,87,NaN,NaN,71,NaN,74,82,NaN,NaN,NaN,NaN,74,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN
403420038,80,NaN,77,NaN,77,NaN,NaN,96,60,96,NaN,NaN,82,NaN,NaN,99,86,84,82,80,65,77,NaN,72,73,NaN,NaN,68,NaN,80,84,NaN,NaN,NaN,NaN,NaN,76,NaN,74,NaN,71,85,60,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,-1,NaN
403420039,63,82,NaN,79,NaN,84,NaN,85,60,92,NaN,77,NaN,NaN,NaN,NaN,63,73,71,95,63,63,NaN,63,61,NaN,NaN,64,NaN,-1,85,NaN,NaN,NaN,NaN,NaN,61,NaN,65,NaN,58,84,70,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
403420040,60,NaN,79,NaN,74,NaN,NaN,81,60,NaN,90,NaN,NaN,78,93,NaN,64,72,71,63,62,-1,NaN,-1,81,NaN,NaN,62,NaN,-1,83,NaN,NaN,NaN,NaN,NaN,66,NaN,NaN,NaN,71,NaN,NaN,NaN,63,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN
403420041,79,84,NaN,81,NaN,82,NaN,84,82,NaN,92,NaN,89,NaN,NaN,NaN,67,71,88,83,70,60,NaN,85,94,NaN,NaN,66,NaN,65,NaN,89,NaN,NaN,NaN,NaN,75,NaN,74,NaN,93,85,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,-1,NaN,NaN
403420042,66,NaN,87,NaN,77,NaN,NaN,90,-1,NaN,89,NaN,66,NaN,0,NaN,65,77,67,74,68,63,NaN,75,-1,NaN,NaN,77,NaN,62,81,NaN,NaN,75,NaN,NaN,58,NaN,NaN,68,NaN,NaN,NaN,87,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,-1,-1,-1,NaN,NaN,NaN
403420043,75,71,NaN,78,NaN,NaN,80,62,67,97,NaN,NaN,78,NaN,NaN,NaN,60,72,63,64,61,-1,NaN,-1,63,NaN,60,NaN,NaN,-1,NaN,85,NaN,NaN,NaN,NaN,69,NaN,72,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
403420044,74,NaN,88,NaN,80,NaN,NaN,88,65,92,NaN,77,NaN,NaN,NaN,88,76,76,85,86,82,61,NaN,86,87,68,NaN,80,NaN,79,86,NaN,73,NaN,NaN,NaN,77,NaN,82,NaN,95,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN
403420045,84,78,NaN,77,NaN,83,NaN,90,60,NaN,97,90,NaN,NaN,NaN,NaN,60,79,73,74,66,74,NaN,69,76,60,NaN,66,NaN,69,87,NaN,NaN,90,NaN,NaN,61,NaN,65,NaN,71,87,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,-1,NaN,NaN
403420046,76,NaN,85,NaN,83,NaN,NaN,77,60,94,NaN,83,NaN,NaN,80,NaN,64,76,77,76,68,60,NaN,71,68,73,NaN,72,NaN,68,85,NaN,NaN,NaN,NaN,NaN,63,NaN,75,NaN,73,86,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,-1,NaN,NaN
403420047,82,73,NaN,77,NaN,NaN,99,87,62,NaN,94,64,NaN,NaN,NaN,NaN,75,70,95,93,84,63,NaN,86,94,NaN,NaN,90,NaN,70,85,NaN,NaN,NaN,NaN,NaN,73,NaN,76,NaN,91,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,-1,NaN,NaN
403420048,86,NaN,85,NaN,83,NaN,NaN,99,68,NaN,97,NaN,92,NaN,95,NaN,65,81,79,89,91,79,NaN,75,80,NaN,89,NaN,NaN,88,90,NaN,NaN,NaN,NaN,NaN,70,NaN,68,65,NaN,89,NaN,94,NaN,-1,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,-1,NaN
403420049,73,80,NaN,74,NaN,87,NaN,87,80,NaN,93,NaN,85,NaN,NaN,NaN,79,65,67,66,61,-1,NaN,67,77,-1,NaN,68,NaN,74,NaN,87,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN
403420050,83,NaN,75,NaN,71,NaN,NaN,80,60,NaN,91,NaN,NaN,68,80,NaN,70,75,77,76,67,60,NaN,70,-1,NaN,79,NaN,NaN,61,85,NaN,NaN,NaN,NaN,NaN,64,NaN,65,NaN,78,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
403420051,69,84,NaN,71,NaN,NaN,86,NaN,69,NaN,93,NaN,NaN,66,NaN,NaN,60,64,82,60,65,63,NaN,62,80,NaN,73,NaN,NaN,62,87,NaN,NaN,NaN,NaN,NaN,63,74,67,NaN,79,84,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
403420052,84,NaN,88,NaN,76,NaN,NaN,89,70,NaN,92,79,NaN,NaN,85,NaN,75,82,89,95,85,76,NaN,91,98,92,NaN,94,-1,91,90,NaN,91,NaN,NaN,NaN,85,93,87,NaN,84,NaN,NaN,93,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN
