id,4201002@應用力學（一）@1@1,4201003@工場實習（一）@1@1,4201003@工場實習（一）@1@2,4201101@工程圖學（一）@1@1,4201101@工程圖學（一）@1@2,4201888@學系服務學習@1@1,4201888@學系服務學習@1@2,4201051@應用力學（二）@2@1,4201052@工場實習（二）@2@1,4201052@工場實習（二）@2@2,4201151@工程圖學（二）@2@1,4201151@工程圖學（二）@2@2,4201888@學系服務學習@2@1,4201888@學系服務學習@2@2,4202001@工程數學（一）@1@1,4202002@物件導向程式設計@1@1,4202101@機動學@1@1,4202301@材料力學（一）@1@1,4202402@工程材料@1@1,4202501@熱力學（一）@1@1,4203006@專題研究D（一）@1@1,4202051@工程數學（二）@2@1,4202053@視窗程式設計@2@1,4202054@實驗方法與量測理論@2@1,4202251@機械製造@2@1,4202352@材料力學（二）@2@1,4202553@熱力學（二）@2@1,4202751@電子電路學（一）@2@1,4202751@電子電路學（一）@2@2,4203067@專題研究C（二）@2@1,4203068@專題研究D（二）@2@1,4203602@流體力學（一）@2@1,4203753@訊號與影像處理導論@2@1,4203002@材料與力學實驗@1@1,4203002@材料與力學實驗@1@2,4203003@專題研究A（一）@1@1,4203104@機械設計@1@1,4203302@電腦輔助工程分析與創新設計@1@1,4203601@流體力學（二）@1@1,4203702@電子電路學（二）@1@1,4203751@自動控制（一）@1@1,4203751@自動控制（一）@1@2,4204015@工具機概論@1@1,4204110@觸感式手術模擬與醫學應用@1@1,4204251@數值方法@1@1,4204301@應用光學與實務@1@1,4203062@熱工與流力實驗@2@1,4203062@熱工與流力實驗@2@2,4203066@專題研究B（二）@2@1,4203105@機械設計實習@2@1,4203151@機器動力學@2@1,4203351@機械振動學@2@1,4203551@熱傳學@2@1,4203752@自動控制（二）@2@1,4203754@訊號與影像處理導論@2@1,4203952@工程光學@2@1,4204052@精密機械生產技術實習@2@1,4204159@創意工程設計@2@1,4204353@電腦輔助工程分析與實務運用@2@1,4204012@自動控制實驗@1@1,4204012@自動控制實驗@1@2,4204014@機械工程與綠色科技@1@1,4204016@精密工具機技術@1@1,4204017@專利寫作理論與實務@1@1,4204703@嵌入式控制器設計@1@1,4204054@專利侵害鑑定理論與實務@2@1,4203104@機械設計@1@2
400420057,82,88,NaN,88,NaN,NaN,85,70,84,NaN,77,NaN,NaN,NaN,87,91,72,79,84,72,NaN,90,NaN,84,80,78,74,NaN,84,88,NaN,77,NaN,NaN,95,NaN,87,95,92,64,84,NaN,79,NaN,79,NaN,87,NaN,NaN,NaN,70,NaN,NaN,64,96,NaN,NaN,NaN,95,91,NaN,NaN,NaN,72,NaN,70,NaN
400420058,66,NaN,82,NaN,82,NaN,NaN,72,NaN,87,NaN,81,30,90,80,NaN,83,77,73,75,NaN,87,NaN,78,70,78,80,NaN,81,NaN,NaN,75,NaN,90,NaN,NaN,87,97,NaN,76,83,NaN,80,NaN,NaN,NaN,NaN,82,NaN,NaN,72,86,NaN,93,87,NaN,NaN,NaN,96,NaN,81,86,86,75,NaN,NaN,NaN
400420059,77,80,NaN,84,NaN,89,NaN,80,NaN,90,79,NaN,NaN,NaN,76,73,79,77,72,77,NaN,76,NaN,60,68,69,75,83,NaN,NaN,NaN,83,NaN,NaN,87,82,74,NaN,NaN,NaN,60,NaN,73,81,NaN,NaN,NaN,81,81,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65,87,NaN,NaN,NaN,78,NaN
400420060,77,NaN,79,NaN,84,NaN,NaN,74,NaN,89,NaN,77,85,NaN,79,87,67,79,78,77,NaN,76,NaN,77,62,65,76,NaN,71,NaN,NaN,60,NaN,NaN,82,NaN,80,NaN,NaN,NaN,63,NaN,NaN,75,NaN,84,74,NaN,NaN,NaN,NaN,71,55,NaN,87,82,NaN,NaN,NaN,NaN,73,79,84,NaN,69,NaN,NaN
400420061,76,85,NaN,75,NaN,NaN,87,87,67,NaN,85,NaN,NaN,NaN,83,87,92,86,83,84,NaN,86,90,84,86,NaN,91,NaN,92,NaN,83,92,NaN,NaN,97,NaN,88,93,98,80,86,NaN,NaN,91,78,NaN,86,NaN,NaN,90,87,NaN,93,82,92,NaN,NaN,NaN,95,91,NaN,89,92,NaN,94,NaN,NaN
400420062,83,NaN,80,NaN,84,NaN,NaN,80,NaN,95,83,NaN,NaN,82,82,92,95,93,86,86,NaN,84,NaN,91,87,NaN,85,NaN,89,NaN,NaN,79,NaN,86,NaN,91,96,NaN,NaN,99,81,NaN,NaN,NaN,84,97,91,NaN,NaN,82,NaN,NaN,NaN,89,94,99,NaN,86,NaN,86,NaN,NaN,87,NaN,99,79,NaN
400420063,69,73,NaN,64,NaN,85,NaN,66,78,NaN,80,NaN,NaN,NaN,78,77,86,86,62,85,NaN,91,NaN,NaN,62,78,75,NaN,79,NaN,NaN,67,NaN,84,NaN,NaN,60,NaN,NaN,69,77,NaN,NaN,85,NaN,NaN,75,NaN,NaN,NaN,NaN,60,74,64,73,NaN,NaN,NaN,NaN,NaN,66,87,NaN,NaN,99,70,NaN
400420064,68,NaN,83,NaN,74,NaN,NaN,60,NaN,88,NaN,70,98,NaN,76,76,66,77,63,67,NaN,86,NaN,66,65,74,NaN,93,NaN,NaN,NaN,67,NaN,NaN,87,NaN,80,NaN,77,NaN,NaN,88,NaN,79,NaN,87,NaN,77,NaN,NaN,73,NaN,NaN,75,76,NaN,NaN,0,NaN,80,NaN,81,NaN,NaN,90,77,NaN
400420065,61,78,NaN,74,NaN,87,NaN,61,63,NaN,71,NaN,NaN,NaN,61,NaN,61,66,72,80,NaN,74,NaN,60,66,70,68,85,NaN,NaN,NaN,72,NaN,87,NaN,NaN,79,NaN,88,75,70,NaN,NaN,NaN,71,NaN,NaN,75,NaN,NaN,62,NaN,72,NaN,77,NaN,NaN,73,NaN,NaN,75,87,NaN,NaN,NaN,70,NaN
400420066,85,NaN,81,NaN,85,NaN,NaN,77,NaN,82,NaN,86,NaN,81,83,77,81,85,92,90,89,90,NaN,NaN,79,94,86,NaN,77,NaN,89,80,NaN,NaN,90,NaN,90,NaN,99,89,88,NaN,73,82,81,NaN,84,NaN,NaN,NaN,NaN,NaN,94,82,96,NaN,NaN,NaN,NaN,NaN,94,90,NaN,NaN,NaN,NaN,NaN
400420067,98,83,NaN,78,NaN,NaN,87,81,85,NaN,76,NaN,NaN,NaN,87,93,99,87,91,90,NaN,91,NaN,NaN,90,94,82,NaN,88,88,NaN,77,NaN,NaN,97,89,90,96,96,NaN,87,NaN,90,NaN,88,NaN,NaN,87,NaN,90,NaN,91,NaN,75,NaN,NaN,NaN,NaN,98,84,NaN,NaN,NaN,83,NaN,NaN,NaN
400420068,79,NaN,73,NaN,75,NaN,NaN,75,NaN,77,NaN,84,85,NaN,79,83,80,78,68,70,89,86,92,NaN,66,74,73,NaN,75,85,NaN,63,NaN,NaN,85,NaN,80,NaN,NaN,85,NaN,87,72,86,85,NaN,77,NaN,NaN,80,NaN,NaN,NaN,90,96,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,90,NaN,NaN
400420069,93,88,NaN,82,NaN,NaN,89,92,85,NaN,82,NaN,NaN,NaN,80,89,92,92,93,84,NaN,83,NaN,89,79,92,NaN,97,NaN,NaN,NaN,82,NaN,NaN,95,92,89,NaN,99,82,NaN,96,NaN,NaN,88,94,84,NaN,NaN,88,90,NaN,NaN,80,95,NaN,NaN,NaN,NaN,NaN,85,85,89,84,NaN,86,NaN
400420070,67,NaN,74,NaN,70,90,NaN,60,NaN,79,NaN,65,0,NaN,74,NaN,70,74,77,79,NaN,62,NaN,NaN,78,79,NaN,NaN,73,NaN,NaN,77,NaN,83,NaN,NaN,87,63,NaN,56,NaN,67,NaN,78,NaN,NaN,79,NaN,NaN,84,NaN,74,NaN,60,92,NaN,NaN,79,76,78,NaN,NaN,71,NaN,76,70,NaN
400420071,82,88,NaN,83,NaN,90,NaN,80,77,NaN,74,NaN,NaN,NaN,84,82,99,92,90,92,88,90,93,92,82,90,78,NaN,79,NaN,NaN,91,NaN,NaN,93,NaN,93,NaN,99,NaN,81,NaN,NaN,91,80,NaN,85,NaN,89,88,91,NaN,NaN,83,100,NaN,NaN,NaN,97,73,NaN,NaN,85,NaN,NaN,86,NaN
400420072,74,NaN,78,NaN,80,NaN,NaN,66,NaN,79,NaN,85,93,NaN,77,84,71,86,78,73,NaN,85,NaN,NaN,66,76,74,NaN,72,NaN,NaN,69,NaN,86,NaN,NaN,72,94,NaN,NaN,81,NaN,79,82,NaN,NaN,79,NaN,87,NaN,NaN,NaN,NaN,71,89,NaN,NaN,NaN,94,70,NaN,85,NaN,70,NaN,77,NaN
400420073,72,87,NaN,82,NaN,NaN,85,70,82,NaN,NaN,74,NaN,NaN,84,85,70,77,65,71,NaN,78,NaN,NaN,68,80,67,NaN,83,NaN,NaN,65,NaN,NaN,86,NaN,83,NaN,NaN,61,70,NaN,70,NaN,NaN,88,NaN,76,NaN,77,NaN,NaN,75,64,NaN,NaN,66,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,77,NaN
400420074,72,NaN,76,NaN,79,NaN,NaN,66,NaN,78,NaN,76,NaN,81,66,68,66,63,82,67,NaN,73,NaN,NaN,60,66,NaN,77,NaN,NaN,NaN,72,NaN,NaN,83,NaN,82,NaN,NaN,NaN,NaN,82,NaN,85,NaN,84,69,NaN,NaN,NaN,NaN,NaN,NaN,67,80,66,68,70,85,NaN,63,81,NaN,NaN,87,75,NaN
400420075,68,92,NaN,79,NaN,NaN,87,64,73,NaN,82,NaN,NaN,NaN,80,88,94,83,73,81,NaN,86,NaN,81,71,89,74,97,NaN,NaN,88,68,88,89,NaN,NaN,82,NaN,86,77,NaN,92,NaN,86,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,93,72,97,NaN,NaN,77,NaN,NaN,82,92,NaN,NaN,NaN,NaN,NaN
400420076,80,NaN,84,NaN,75,NaN,NaN,65,NaN,86,NaN,73,NaN,90,69,74,88,83,84,83,90,88,NaN,81,87,82,88,NaN,81,NaN,NaN,69,NaN,87,NaN,NaN,87,NaN,99,NaN,86,NaN,86,NaN,87,NaN,NaN,83,NaN,NaN,85,NaN,95,81,97,NaN,NaN,NaN,98,NaN,77,86,NaN,84,NaN,NaN,NaN
400420077,65,86,NaN,61,NaN,NaN,65,60,64,NaN,60,NaN,NaN,NaN,43,NaN,69,68,65,60,NaN,60,NaN,NaN,72,62,20,69,NaN,NaN,NaN,72,NaN,87,NaN,NaN,79,NaN,39,NaN,64,NaN,73,NaN,NaN,90,NaN,81,NaN,NaN,52,NaN,67,NaN,60,NaN,60,NaN,NaN,NaN,60,88,NaN,79,79,73,NaN
