id,4201002@應用力學（一）@1@1,4201003@工場實習（一）@1@1,4201003@工場實習（一）@1@2,4201101@工程圖學（一）@1@1,4202001@工程數學（一）@1@1,4202002@物件導向程式設計@1@1,4202054@實驗方法與量測理論@1@1,4202101@機動學@1@1,4202301@材料力學（一）@1@1,4202402@工程材料@1@1,4202501@熱力學（一）@1@1,4204015@工具機概論@1@1,4201051@應用力學（二）@2@1,4201052@工場實習（二）@2@1,4201151@工程圖學（二）@2@1,4202051@工程數學（二）@2@1,4202053@視窗程式設計@2@1,4202251@機械製造@2@1,4202352@材料力學（二）@2@1,4202553@熱力學（二）@2@1,4202751@電子電路學（一）@2@1,4202751@電子電路學（一）@2@2,4203062@熱工與流力實驗@2@1,4203066@專題研究B（二）@2@1,4203068@專題研究D（二）@2@1,4203602@流體力學（一）@2@1,4203952@工程光學@2@1,4204052@精密機械生產技術實習@2@1,4204552@機械工程CFD 分析與軟體應用@2@1,4203002@材料與力學實驗@1@1,4203002@材料與力學實驗@1@2,4203004@專題研究B（一）@1@1,4203005@專題研究C（一）@1@1,4203006@專題研究D（一）@1@1,4203104@機械設計@1@1,4203601@流體力學（二）@1@1,4203702@電子電路學（二）@1@1,4203751@自動控制（一）@1@1,4203751@自動控制（一）@1@2,4204012@自動控制實驗@1@2,4204016@精密工具機技術@1@1,4204106@光學實驗@1@1,4204109@機電整合與應用@1@1,4204110@觸感式手術模擬與醫學應用@1@1,4204251@數值方法@1@1,4204703@嵌入式控制器設計@1@1,4202054@實驗方法與量測理論@2@1,4203062@熱工與流力實驗@2@2,4203067@專題研究C（二）@2@1,4203105@機械設計實習@2@1,4203151@機器動力學@2@1,4203351@機械振動學@2@1,4203551@熱傳學@2@1,4203752@自動控制（二）@2@1,4203753@訊號與影像處理導論@2@1,4204053@積層製造（立體列印）@2@1,4204159@創意工程設計@2@1,4203003@專題研究A（一）@1@1,4203302@電腦輔助工程分析與創新設計@1@1,4204012@自動控制實驗@1@1,4204014@機械工程與綠色科技@1@1,4204301@應用光學與實務@1@1,4203754@訊號與影像處理導論@2@1,4204109@機電整合與應用@2@1,4204017@專利寫作理論與實務@1@1,4204054@專利侵害鑑定理論與實務@2@1,4201101@工程圖學（一）@1@2,4201052@工場實習（二）@2@2,4201151@工程圖學（二）@2@2
499420086,81,NaN,87,NaN,65,NaN,69,66,75,76,62,73,75,NaN,NaN,82,NaN,68,78,NaN,NaN,68,NaN,NaN,NaN,60,60,67,NaN,84,NaN,NaN,NaN,NaN,60,69,NaN,NaN,91,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,66,NaN,79,NaN,77,NaN,NaN,60,90,NaN,NaN,NaN,NaN,NaN,83,91,85
499420087,87,90,NaN,74,78,94,83,78,72,63,74,NaN,78,86,86,76,NaN,89,93,75,NaN,81,82,NaN,89,60,75,84,NaN,NaN,87,NaN,NaN,86,61,74,81,NaN,87,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,75,82,NaN,78,96,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN
499420088,84,NaN,84,NaN,90,NaN,69,76,90,68,82,NaN,77,NaN,NaN,89,NaN,82,92,64,NaN,82,74,NaN,NaN,68,78,71,NaN,NaN,82,NaN,NaN,NaN,63,95,NaN,79,NaN,NaN,NaN,NaN,80,81,NaN,NaN,NaN,NaN,NaN,NaN,79,60,66,80,NaN,NaN,77,NaN,NaN,65,84,NaN,NaN,NaN,NaN,NaN,74,85,65
499420089,84,89,NaN,82,87,91,NaN,78,94,72,78,NaN,78,86,82,96,93,85,94,80,81,NaN,NaN,NaN,92,69,NaN,NaN,NaN,86,NaN,NaN,NaN,89,76,89,84,NaN,96,95,NaN,NaN,NaN,NaN,96,84,84,91,NaN,NaN,NaN,NaN,82,91,93,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420090,74,NaN,87,NaN,65,77,65,73,62,88,78,88,62,NaN,NaN,80,76,74,73,64,NaN,67,73,85,NaN,60,NaN,NaN,NaN,NaN,87,89,NaN,NaN,99,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,87,NaN,92,NaN,NaN,NaN,91,76,66,NaN,83,89,NaN,NaN,NaN,NaN,70,92,NaN,NaN,NaN,NaN,NaN,85,86,74
499420091,90,86,NaN,86,96,91,NaN,98,97,98,95,88,75,82,80,96,99,98,99,87,94,NaN,85,NaN,NaN,98,NaN,NaN,NaN,NaN,90,NaN,NaN,89,99,NaN,95,NaN,97,NaN,NaN,NaN,94,94,96,92,95,NaN,94,93,91,NaN,NaN,89,98,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420092,96,NaN,91,NaN,90,98,NaN,88,99,86,96,86,93,NaN,NaN,91,99,97,89,85,98,NaN,81,89,NaN,85,NaN,96,NaN,NaN,88,90,NaN,NaN,97,NaN,93,99,NaN,82,NaN,NaN,92,NaN,NaN,86,NaN,NaN,NaN,94,81,NaN,NaN,90,100,NaN,84,NaN,93,NaN,94,NaN,NaN,NaN,NaN,NaN,87,97,98
499420094,81,NaN,94,NaN,77,95,75,71,83,70,77,80,65,NaN,NaN,81,82,72,65,NaN,65,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,69,NaN,75,NaN,94,67,NaN,NaN,NaN,88,NaN,73,NaN,80,NaN,NaN,NaN,69,NaN,77,83,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,87,87,83
499420095,22,84,NaN,70,41,NaN,NaN,60,63,68,75,NaN,47,64,NaN,60,NaN,15,NaN,NaN,60,50,NaN,NaN,NaN,53,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,44,NaN,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48,70
499420096,70,NaN,92,NaN,61,91,76,60,75,73,73,77,55,NaN,NaN,66,NaN,60,73,50,NaN,69,70,NaN,NaN,78,NaN,71,NaN,NaN,86,NaN,NaN,NaN,88,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,81,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,68,70,77,NaN,76,NaN,NaN,63,86,89,NaN,NaN,NaN,NaN,66,70,62
499420097,76,80,NaN,77,73,80,NaN,69,71,60,68,76,62,67,77,82,NaN,67,71,NaN,NaN,61,76,NaN,NaN,60,NaN,66,NaN,NaN,82,NaN,NaN,NaN,60,NaN,NaN,83,NaN,NaN,80,NaN,NaN,77,NaN,72,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,63,89,86,78,NaN,NaN,NaN,NaN,NaN,NaN
499420098,71,NaN,87,NaN,60,90,NaN,69,60,63,62,77,68,NaN,NaN,61,84,61,56,48,77,55,NaN,NaN,NaN,62,NaN,65,NaN,84,NaN,NaN,NaN,NaN,62,NaN,57,78,NaN,63,NaN,NaN,NaN,84,NaN,78,73,71,NaN,80,NaN,45,80,77,NaN,NaN,77,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,70,83,71
499420099,62,75,NaN,64,63,90,NaN,65,75,62,75,77,60,62,56,66,87,65,65,NaN,NaN,65,69,NaN,NaN,63,NaN,NaN,NaN,79,NaN,NaN,87,NaN,60,NaN,75,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,84,NaN,87,NaN,NaN,NaN,NaN,71,75,NaN,NaN,NaN,NaN,70,84,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN
499420100,70,NaN,86,NaN,65,90,60,68,81,70,72,71,65,NaN,NaN,75,NaN,80,65,60,60,NaN,79,NaN,NaN,61,NaN,53,NaN,NaN,85,NaN,NaN,NaN,67,55,NaN,NaN,72,65,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,69,66,80,NaN,78,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,80,62
499420101,73,83,NaN,68,90,95,NaN,88,97,81,91,82,78,73,85,88,NaN,91,94,87,NaN,76,NaN,NaN,91,98,NaN,NaN,NaN,85,NaN,NaN,NaN,89,75,86,NaN,85,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,88,NaN,NaN,74,NaN,80,82,93,NaN,NaN,NaN,NaN,71,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
499420102,70,NaN,77,NaN,81,NaN,77,83,77,87,90,NaN,71,NaN,NaN,77,90,89,83,65,NaN,75,NaN,NaN,88,73,NaN,85,NaN,92,NaN,88,NaN,NaN,83,83,NaN,NaN,99,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,76,89,94,NaN,NaN,NaN,NaN,77,94,NaN,NaN,NaN,NaN,NaN,80,83,84
499420103,83,87,NaN,77,75,98,85,75,66,75,69,81,80,79,87,70,90,79,67,60,NaN,65,79,NaN,NaN,60,NaN,88,NaN,85,NaN,NaN,NaN,86,91,NaN,75,86,NaN,NaN,NaN,NaN,NaN,NaN,69,NaN,NaN,NaN,NaN,87,54,60,NaN,85,82,NaN,NaN,NaN,NaN,78,93,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN
499420093,68,85,NaN,66,75,NaN,NaN,60,69,88,70,85,66,60,74,72,NaN,62,NaN,61,93,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,74,NaN,NaN,NaN,65,67,NaN,NaN,85,86,NaN,NaN,73,77,NaN,69,NaN,NaN,79,NaN,NaN,NaN,85,NaN,NaN,NaN,93,NaN,86,NaN,87,85,NaN,NaN,NaN
