id,5101001@經濟學原理（一）@1@1,5101001@經濟學原理（一）@1@2,5101001@經濟學原理（一）@1@4,5101003@基礎個體經濟學@1@1,5101888@學系服務學習@1@1,5101888@學系服務學習@1@2,5101002@經濟學原理（二）@2@1,5101002@經濟學原理（二）@2@2,5101002@經濟學原理（二）@2@4,5101004@基礎總體經濟學@2@1,5101888@學系服務學習@2@1,5101888@學系服務學習@2@2,5102101@個體經濟學（一）@1@1,5102101@個體經濟學（一）@1@2,5102201@總體經濟學（一）@1@1,5102201@總體經濟學（一）@1@2,5102301@統計學（一）@1@1,5102301@統計學（一）@1@2,5103816@西洋經濟史@1@1,5104600@大陸經濟@1@1,5104811@國際經濟組織（一）@1@1,5101002@經濟學原理（二）@2@3,5102102@個體經濟學（二）@2@1,5102102@個體經濟學（二）@2@2,5102110@管理經濟學@2@1,5102202@總體經濟學（二）@2@1,5102202@總體經濟學（二）@2@2,5102240@貨幣銀行學@2@1,5102240@貨幣銀行學@2@2,5102302@統計學（二）@2@1,5102302@統計學（二）@2@2,5102401@管制經濟學@2@1,5103020@經濟思想史@2@1,5103604@公共經濟學@2@1,5103700@財政學@2@1,5101001@經濟學原理（一）@1@5,5102360@數理經濟學@1@1,5103311@計量經濟學（一）@1@1,5103311@計量經濟學（一）@1@2,5103365@賽局理論（一）@1@1,5103401@國際貿易理論與政策（一）@1@1,5103401@國際貿易理論與政策（一）@1@2,5103501@國際金融理論與政策（一）@1@1,5103501@國際金融理論與政策（一）@1@2,5103915@訊息經濟學@1@1,5104920@經濟政策@1@1,5103160@產業經濟學@2@1,5103312@計量經濟學（二）@2@1,5103920@統計軟體應用@2@1,5104101@個體經濟理論應用@2@1,5104710@國際貿易實務@2@1,5103307@高等統計學（一）@1@1,5103620@亞太地區經濟@1@1,5103920@統計軟體應用@1@1,5103308@高等統計學（二）@2@1,5103366@賽局理論（二）@2@1,5104102@總體經濟理論應用@2@1,5103405@國際貿易與全球化專題@2@1
401510029,NaN,89,NaN,NaN,NaN,100,NaN,82,NaN,NaN,NaN,NaN,86,NaN,85,NaN,NaN,92,95,NaN,NaN,NaN,90,NaN,90,77,NaN,82,NaN,NaN,91,78,85,NaN,82,NaN,NaN,NaN,94,NaN,83,NaN,74,NaN,87,NaN,85,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401510031,NaN,83,NaN,NaN,NaN,100,77,NaN,NaN,NaN,NaN,NaN,78,NaN,75,NaN,NaN,84,90,NaN,NaN,NaN,86,NaN,NaN,77,NaN,75,NaN,NaN,91,74,NaN,NaN,91,NaN,81,NaN,92,90,79,NaN,72,NaN,NaN,NaN,76,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401510032,NaN,85,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,85,NaN,NaN,70,62,NaN,NaN,78,88,81,NaN,NaN,NaN,72,NaN,63,NaN,67,NaN,NaN,61,81,75,NaN,60,NaN,16,NaN,82,61,76,NaN,60,NaN,85,NaN,82,NaN,NaN,73,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN
401510033,NaN,99,NaN,NaN,NaN,100,NaN,90,NaN,NaN,NaN,NaN,88,NaN,91,NaN,NaN,93,84,90,NaN,NaN,98,NaN,NaN,83,NaN,80,NaN,88,NaN,86,NaN,NaN,85,NaN,67,90,NaN,91,NaN,93,NaN,90,NaN,NaN,78,89,NaN,88,NaN,80,NaN,NaN,82,NaN,NaN,NaN
401510053,NaN,75,NaN,NaN,NaN,60,NaN,72,NaN,NaN,NaN,NaN,60,NaN,60,NaN,63,NaN,75,NaN,NaN,NaN,77,NaN,88,60,NaN,72,NaN,60,NaN,76,NaN,65,NaN,NaN,67,60,NaN,70,NaN,88,NaN,81,75,NaN,85,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401510058,NaN,70,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,85,NaN,67,NaN,66,NaN,NaN,75,70,60,72,NaN,84,NaN,NaN,66,NaN,NaN,70,NaN,77,74,67,67,NaN,NaN,NaN,66,NaN,NaN,NaN,88,NaN,86,NaN,NaN,89,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN
401510062,NaN,82,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,84,NaN,91,84,NaN,NaN,84,84,84,NaN,NaN,NaN,92,NaN,70,NaN,75,NaN,NaN,79,87,NaN,63,75,NaN,83,NaN,92,84,89,NaN,76,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401510063,NaN,82,NaN,NaN,NaN,92,95,NaN,NaN,NaN,NaN,NaN,91,NaN,80,NaN,NaN,87,88,90,95,NaN,86,NaN,82,80,NaN,76,NaN,NaN,90,87,41,NaN,NaN,NaN,86,NaN,81,65,90,NaN,63,NaN,87,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401510064,NaN,46,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,68,87,42,74,40,NaN,76,70,80,84,NaN,NaN,60,71,73,NaN,59,82,NaN,66,68,NaN,68,NaN,80,75,NaN,74,NaN,65,NaN,64,NaN,79,NaN,83,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401510067,NaN,84,NaN,NaN,81,NaN,NaN,74,NaN,NaN,NaN,NaN,80,25,64,NaN,64,NaN,80,76,NaN,NaN,74,NaN,80,63,NaN,69,NaN,60,NaN,74,NaN,NaN,NaN,NaN,NaN,64,NaN,65,NaN,88,NaN,85,73,NaN,81,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
