id,5101001@經濟學原理（一）@1@1,5101001@經濟學原理（一）@1@2,5101001@經濟學原理（一）@1@3,5101001@經濟學原理（一）@1@5,5101003@基礎個體經濟學@1@1,5101888@學系服務學習@1@1,5101888@學系服務學習@1@2,5102301@統計學（一）@1@1,5101002@經濟學原理（二）@2@1,5101002@經濟學原理（二）@2@2,5101002@經濟學原理（二）@2@3,5101004@基礎總體經濟學@2@1,5101888@學系服務學習@2@1,5101888@學系服務學習@2@2,5102240@貨幣銀行學@2@2,5102302@統計學（二）@2@1,5101001@經濟學原理（一）@1@6,5102101@個體經濟學（一）@1@1,5102103@個體經濟學@1@1,5102201@總體經濟學（一）@1@1,5102201@總體經濟學（一）@1@2,5102301@統計學（一）@1@2,5102360@數理經濟學@1@1,5103311@計量經濟學（一）@1@1,5103365@賽局理論（一）@1@1,5103620@亞太地區經濟@1@1,5103816@西洋經濟史@1@1,5104600@大陸經濟@1@1,5101002@經濟學原理（二）@2@5,5101002@經濟學原理（二）@2@6,5102102@個體經濟學（二）@2@1,5102102@個體經濟學（二）@2@2,5102110@管理經濟學@2@1,5102202@總體經濟學（二）@2@1,5102202@總體經濟學（二）@2@2,5102240@貨幣銀行學@2@1,5102302@統計學（二）@2@2,5102401@管制經濟學@2@1,5103020@經濟思想史@2@1,5103312@計量經濟學（二）@2@1,5103700@財政學@2@1,5101001@經濟學原理（一）@1@4,5102101@個體經濟學（一）@1@2,5103307@高等統計學（一）@1@1,5103311@計量經濟學（一）@1@2,5103401@國際貿易理論與政策（一）@1@1,5103401@國際貿易理論與政策（一）@1@2,5103501@國際金融理論與政策（一）@1@1,5103501@國際金融理論與政策（一）@1@2,5103920@統計軟體應用@1@1,5103160@產業經濟學@2@1,5103308@高等統計學（二）@2@1,5103366@賽局理論（二）@2@1,5103405@國際貿易與全球化專題@2@1,5103600@發展經濟學@2@1,5103915@訊息經濟學@2@1,5103920@統計軟體應用@2@1,5104101@個體經濟理論應用@2@1,5104710@國際貿易實務@2@1
403510061,73,NaN,NaN,NaN,NaN,NaN,80,78,73,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,74,NaN,NaN,84,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,70,NaN,86,69,NaN,NaN,94,NaN,66,NaN,NaN,NaN,NaN,NaN,82,83,NaN,NaN,81,NaN,-1,NaN,-1,-1,-1,-1,NaN,NaN,NaN
403510079,73,NaN,NaN,NaN,NaN,NaN,82,86,63,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,74,NaN,NaN,69,57,NaN,NaN,68,NaN,NaN,NaN,NaN,NaN,61,NaN,78,71,NaN,NaN,87,NaN,65,NaN,NaN,NaN,NaN,NaN,80,NaN,82,NaN,78,NaN,-1,NaN,-1,-1,-1,-1,NaN,NaN,NaN
403510081,67,NaN,NaN,NaN,NaN,NaN,83,NaN,60,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,63,NaN,65,NaN,64,NaN,NaN,62,77,68,NaN,NaN,NaN,70,NaN,-1,-1,NaN,NaN,84,69,-1,NaN,NaN,NaN,NaN,NaN,53,69,NaN,65,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,-1,NaN,NaN
403510091,88,NaN,NaN,NaN,NaN,94,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,76,NaN,79,NaN,NaN,82,89,NaN,NaN,NaN,NaN,71,NaN,75,75,NaN,75,93,71,NaN,NaN,NaN,NaN,NaN,NaN,81,71,NaN,75,NaN,NaN,-1,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
403510097,60,NaN,NaN,NaN,NaN,90,NaN,NaN,45,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,56,NaN,61,NaN,60,NaN,NaN,67,NaN,62,NaN,-1,NaN,60,NaN,-1,60,NaN,NaN,78,57,-1,NaN,NaN,NaN,NaN,NaN,60,69,NaN,NaN,48,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
403510099,78,NaN,NaN,NaN,NaN,90,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,60,-1,NaN,61,NaN,77,NaN,55,NaN,NaN,65,NaN,71,NaN,NaN,NaN,60,NaN,-1,-1,NaN,NaN,50,69,-1,NaN,NaN,NaN,NaN,NaN,62,70,NaN,NaN,65,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
403510100,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63,NaN,NaN,NaN,100,NaN,60,NaN,NaN,70,NaN,63,NaN,65,NaN,NaN,70,NaN,71,NaN,NaN,NaN,65,NaN,72,60,NaN,NaN,87,70,-1,NaN,NaN,NaN,NaN,NaN,61,68,NaN,NaN,55,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN
403510001,NaN,69,NaN,NaN,NaN,NaN,81,73,72,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,74,NaN,60,NaN,NaN,NaN,66,76,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,65,NaN,72,NaN,81,NaN,-1,NaN,NaN,NaN,79,NaN,NaN,85,85,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
403510003,NaN,70,NaN,NaN,NaN,99,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,73,NaN,86,NaN,NaN,NaN,91,91,NaN,NaN,NaN,81,NaN,NaN,77,NaN,88,94,81,NaN,NaN,76,NaN,NaN,NaN,90,87,NaN,73,NaN,NaN,-1,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
403510010,NaN,85,NaN,NaN,NaN,NaN,NaN,95,NaN,79,NaN,NaN,NaN,90,NaN,99,NaN,96,NaN,91,NaN,NaN,NaN,94,84,87,96,NaN,NaN,NaN,99,NaN,90,100,NaN,97,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,100,NaN,96,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
