id,5205002@研究方法@2@1,5205122@網路行銷@2@1,5205203@國際人力資源管理@2@1,5206142@電腦套裝軟體應用@2@1,5205001@組織理論與管理@1@1,5205004@人力資源管理@1@1,5205006@行銷管理@1@1,5205008@財務管理@1@1,5205016@運籌管理@1@1,5205040@多變量分析@1@1,5205056@系統模擬@1@1,5205061@專案管理@1@1,5205067@國際企業@1@1,5205097@服務業行銷管理@1@1,5205109@管理時事英文選讀@1@1,5205159@人文領導與企業倫理@1@1,5205164@品牌管理@1@1,5205205@管理專題講座@1@1,5205015@策略管理@2@1,5205054@管理科學@2@1,5205058@投資分析@2@1,5205064@公司理財研討@2@1,5205107@國際財務管理@2@1,5205199@人力資源發展@2@1,5205204@通路管理@2@1,5205210@管理專案實習（一）@2@1,5205215@行銷文案寫作與溝通@2@1,5206141@獨立研究－行銷倫理@2@1
605520017,-1,NaN,NaN,-1,85,93,94,92,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN
605520020,-1,NaN,NaN,-1,80,91,93,90,88,NaN,NaN,NaN,NaN,NaN,NaN,90,93,NaN,-1,-1,-1,NaN,NaN,-1,NaN,-1,NaN,NaN
605520025,-1,NaN,NaN,-1,72,91,90,90,90,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,-1,NaN
605520026,-1,NaN,NaN,-1,86,NaN,NaN,96,94,NaN,NaN,91,NaN,NaN,87,89,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
605520028,-1,NaN,NaN,-1,93,NaN,NaN,93,90,NaN,NaN,NaN,NaN,NaN,NaN,91,89,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN
605520029,-1,NaN,NaN,-1,77,92,91,92,88,NaN,NaN,NaN,NaN,NaN,NaN,91,93,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,-1,NaN
605520030,-1,NaN,NaN,-1,82,90,90,94,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN
605520032,-1,NaN,NaN,NaN,82,94,NaN,95,94,NaN,NaN,NaN,NaN,NaN,NaN,92,95,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,-1,-1,NaN
605520037,-1,NaN,NaN,-1,84,90,90,92,92,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN
605520041,-1,NaN,NaN,NaN,84,90,NaN,95,94,NaN,NaN,NaN,NaN,NaN,NaN,89,93,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,-1,-1,NaN
605520044,-1,NaN,NaN,-1,85,88,89,96,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,-1,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
605520046,-1,NaN,NaN,-1,90,87,93,95,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN
605520047,-1,NaN,NaN,-1,80,86,89,96,90,NaN,NaN,NaN,NaN,NaN,86,89,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN
605520049,-1,NaN,NaN,NaN,81,87,85,96,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,-1
605520050,-1,NaN,NaN,-1,84,NaN,91,NaN,92,NaN,NaN,NaN,NaN,90,NaN,90,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,-1,-1,NaN
605520051,-1,NaN,NaN,-1,83,90,92,95,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN
605520052,-1,NaN,NaN,-1,92,90,91,94,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN
605520053,-1,NaN,NaN,-1,86,91,93,96,88,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN
605520054,-1,NaN,NaN,-1,82,90,NaN,90,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,-1,-1,-1,NaN,NaN
