id,5205001@組織理論與管理@1@1,5205004@人力資源管理@1@1,5205005@管理資訊系統@1@1,5205006@行銷管理@1@1,5205008@財務管理@1@1,5205016@運籌管理@1@1,5205040@多變量分析@1@1,5205069@消費者行為@1@1,5205107@國際財務管理@1@1,5205110@組織學習@1@1,5205119@訓練與發展@1@1,5205128@投資銀行@1@1,5205137@數學規劃應用@1@1,5205159@人文領導與企業倫理@1@1,5205164@品牌管理@1@1,5205205@管理專題講座@1@1,5205211@影像．故事．行銷創意@1@1,5206126@隨機過程與應用@1@1,5205002@研究方法@2@1,5205015@策略管理@2@1,5205054@管理科學@2@1,5205058@投資分析@2@1,5205064@公司理財研討@2@1,5205106@組織發展@2@1,5205109@管理時事英文選讀@2@1,5205136@創意思考與行銷@2@1,5205153@系統思考@2@1,5205200@人力招募與甄選@2@1,5205204@通路管理@2@1,5205206@商業模式創新與管理@2@1,5205210@管理專案實習（一）@2@1,5205214@消費者的決策@2@1,5206121@產品研發與管理@2@1,5206142@電腦套裝軟體應用@2@1,5205056@系統模擬@1@1,5205057@廣告管理@1@1,5205061@專案管理@1@1,5205090@財務實證研究@1@1,5205097@服務業行銷管理@1@1,5205212@管理專案實習（二）@1@1,5206008@行銷研究專題研討@1@1,5206154@企業動力學@1@1,5205113@電子商務與全球運籌@2@1,5205122@網路行銷@2@1,5205158@金融市場與機構@2@1,5205207@電腦套裝軟體應用與設計@2@1,5205127@決策分析@1@1
601520018,80,84,84,86,70,82,NaN,96,NaN,90,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,81,84,80,NaN,NaN,NaN,NaN,89,90,NaN,85,NaN,82,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601520021,87,86,91,85,86,81,NaN,84,NaN,NaN,NaN,NaN,NaN,85,NaN,86,NaN,NaN,91,87,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,91,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,91,NaN,NaN,88,NaN,NaN,NaN,NaN
601520022,87,85,91,78,89,83,NaN,90,NaN,NaN,NaN,NaN,NaN,86,NaN,85,90,NaN,78,83,NaN,NaN,NaN,NaN,80,91,76,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601520023,82,NaN,91,80,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,84,NaN,85,90,88,83,85,NaN,NaN,NaN,NaN,NaN,85,77,NaN,NaN,84,81,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601520024,82,NaN,NaN,90,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,87,86,92,NaN,77,86,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,86,84,NaN,NaN,87,80,90,NaN,NaN,NaN,88,NaN,NaN,88,NaN,NaN,NaN,NaN
601520025,81,72,NaN,79,77,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,92,86,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,86,81,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,84,NaN,NaN,NaN,NaN
601520026,83,NaN,87,80,91,82,NaN,NaN,NaN,83,NaN,NaN,NaN,89,88,85,92,NaN,70,83,NaN,NaN,NaN,NaN,80,91,NaN,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601520027,87,88,89,85,97,81,NaN,NaN,NaN,83,95,NaN,NaN,NaN,NaN,85,NaN,NaN,80,86,100,NaN,NaN,NaN,NaN,NaN,NaN,89,90,88,84,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601520029,86,85,87,81,85,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,87,NaN,90,82,86,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,88,81,NaN,NaN,88,80,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601520030,85,87,89,85,91,85,NaN,93,NaN,NaN,94,NaN,NaN,87,NaN,87,NaN,NaN,81,84,90,NaN,NaN,NaN,75,89,79,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN
