id,4100003@計算機概論@1@1,4101012@資訊概論@1@1,4101031@程式設計（一）@1@1,4101031@程式設計（一）@1@2,4101033@程式設計實習（一）@1@1,4101033@程式設計實習（一）@1@2,4101033@程式設計實習（一）@1@3,4101033@程式設計實習（一）@1@4,4101155@線性代數@1@1,4101155@線性代數@1@2,4101888@學系服務學習@1@1,4101888@學系服務學習@1@2,4103001@作業系統概論@1@1,4101013@機率論@2@1,4101013@機率論@2@2,4101032@程式設計（二）@2@1,4101032@程式設計（二）@2@2,4101034@程式設計實習（二）@2@1,4101034@程式設計實習（二）@2@2,4101034@程式設計實習（二）@2@3,4101034@程式設計實習（二）@2@4,4101888@學系服務學習@2@1,4101888@學系服務學習@2@2,4102085@離散數學@2@1,4102001@數位電子學@1@1,4102003@數位電子學實驗@1@1,4102003@數位電子學實驗@1@2,4102050@組合語言@1@1,4102062@資料結構@1@1,4102062@資料結構@1@2,4102090@工程數學@1@1,4102068@計算方法概論@2@1,4102068@計算方法概論@2@2,4102100@數位系統導論@2@1,4102130@數位系統導論實驗@2@1,4102130@數位系統導論實驗@2@2,4102150@系統程式@2@1,4102150@系統程式@2@2,4102160@物件導向程式設計@2@1,4102161@電腦軟體設計@2@1,4103039@電腦網路概論@2@1,4104048@網路安全概論@2@1,4104061@資料庫系統@2@1,4103001@作業系統概論@1@2,4103020@程式語言導論@1@1,4103022@軟體工程@1@1,4103026@多媒體技術概論@1@1,4103055@計算機組織@1@1,4103055@計算機組織@1@2,4103066@人工智慧導論@1@1,4103069@易數邏輯@1@1,4103800@資訊工程研討@1@1,4104046@電信網路概論@1@1,4102013@機率論@2@1,4102170@統計學@2@1,4103061@數值分析@2@1,4103090@數位信號處理導論@2@1,4103095@Java程式設計：企業與嵌入式系統@2@1,4104005@編譯器設計@2@1,4104005@編譯器設計@2@2,4104800@專題實驗（一）@2@1,4104800@專題實驗（一）@2@2,4104800@專題實驗（一）@2@3,4104800@專題實驗（一）@2@4,4104800@專題實驗（一）@2@5,4102013@機率論@1@2,4104801@專題實驗（二）@1@1,4104801@專題實驗（二）@1@2,4104801@專題實驗（二）@1@3,4104801@專題實驗（二）@1@4,4104801@專題實驗（二）@1@5,4102160@物件導向程式設計@2@2,4103900@工程倫理@2@1,4104801@專題實驗（二）@2@1
402410015,NaN,82,86,NaN,86,NaN,NaN,NaN,99,NaN,83,NaN,72,96,NaN,100,NaN,100,NaN,NaN,NaN,NaN,NaN,77,100,87,NaN,77,96,NaN,73,79,NaN,69,NaN,84,NaN,89,95,NaN,94,NaN,-1,NaN,89,76,84,87,NaN,93,NaN,79,NaN,NaN,-1,90,95,81,NaN,88,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN
402410016,NaN,70,78,NaN,NaN,NaN,78,NaN,NaN,66,NaN,NaN,60,NaN,40,66,NaN,NaN,NaN,66,NaN,NaN,71,67,63,77,NaN,72,77,NaN,74,53,-1,-1,NaN,72,NaN,86,-1,NaN,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,90,NaN,60,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
402410017,NaN,69,73,NaN,73,NaN,NaN,NaN,56,60,NaN,80,NaN,NaN,72,60,NaN,60,NaN,NaN,NaN,NaN,NaN,76,73,79,NaN,65,NaN,62,68,64,NaN,69,95,NaN,67,NaN,61,NaN,NaN,NaN,NaN,61,70,NaN,71,NaN,61,NaN,NaN,82,NaN,NaN,-1,74,63,NaN,67,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN
402410018,NaN,90,NaN,99,NaN,NaN,NaN,99,NaN,94,NaN,NaN,NaN,82,NaN,NaN,99,NaN,NaN,NaN,99,78,NaN,92,89,89,NaN,92,94,NaN,87,92,NaN,64,90,NaN,93,NaN,91,93,88,NaN,87,85,91,NaN,NaN,94,NaN,76,90,94,NaN,NaN,NaN,80,NaN,70,81,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN
402410019,NaN,74,77,NaN,77,NaN,NaN,NaN,NaN,71,88,NaN,NaN,80,NaN,68,NaN,68,NaN,NaN,NaN,NaN,NaN,78,81,81,NaN,71,70,NaN,91,80,NaN,71,NaN,92,92,NaN,88,95,80,NaN,73,71,98,NaN,82,68,NaN,72,NaN,84,NaN,NaN,86,NaN,NaN,75,NaN,75,NaN,88,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN
402410020,NaN,77,55,61,55,NaN,NaN,61,NaN,74,NaN,NaN,NaN,37,NaN,48,NaN,48,NaN,NaN,NaN,73,NaN,74,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402410021,NaN,78,NaN,99,NaN,NaN,NaN,99,88,NaN,81,NaN,NaN,74,NaN,NaN,99,NaN,NaN,NaN,99,NaN,NaN,89,60,86,NaN,99,100,NaN,62,NaN,83,82,91,NaN,NaN,100,89,100,89,NaN,78,77,92,79,NaN,NaN,97,81,73,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN
402410022,NaN,79,99,NaN,NaN,NaN,99,NaN,NaN,63,NaN,NaN,NaN,80,NaN,100,NaN,NaN,NaN,100,NaN,75,NaN,83,78,88,NaN,92,NaN,97,60,NaN,68,72,90,NaN,NaN,100,85,NaN,91,NaN,74,71,88,83,NaN,NaN,83,75,93,87,79,NaN,NaN,NaN,NaN,60,NaN,83,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN
402410023,NaN,76,75,NaN,NaN,NaN,75,NaN,NaN,81,81,NaN,NaN,80,NaN,85,NaN,85,NaN,NaN,NaN,NaN,NaN,98,68,79,NaN,63,82,NaN,75,NaN,88,93,83,NaN,88,NaN,85,NaN,63,NaN,76,83,NaN,79,91,NaN,86,70,NaN,80,NaN,NaN,NaN,NaN,NaN,61,NaN,81,91,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,-1,NaN
402410024,NaN,77,69,NaN,69,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,69,62,NaN,62,NaN,NaN,NaN,82,NaN,78,90,77,NaN,66,NaN,64,60,NaN,87,63,90,NaN,NaN,72,75,NaN,73,NaN,76,78,94,NaN,88,85,NaN,82,NaN,89,NaN,NaN,NaN,68,NaN,NaN,NaN,76,91,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN
