id,4100003@計算機概論@1@1,4101012@資訊概論@1@1,4101031@程式設計（一）@1@1,4101031@程式設計（一）@1@2,4101033@程式設計實習（一）@1@1,4101033@程式設計實習（一）@1@2,4101033@程式設計實習（一）@1@3,4101033@程式設計實習（一）@1@4,4101155@線性代數@1@1,4101155@線性代數@1@2,4101888@學系服務學習@1@1,4101888@學系服務學習@1@2,4103001@作業系統概論@1@1,4101013@機率論@2@1,4101013@機率論@2@2,4101032@程式設計（二）@2@1,4101032@程式設計（二）@2@2,4101034@程式設計實習（二）@2@1,4101034@程式設計實習（二）@2@2,4101034@程式設計實習（二）@2@3,4101034@程式設計實習（二）@2@4,4101888@學系服務學習@2@1,4101888@學系服務學習@2@2,4102085@離散數學@2@1,4102001@數位電子學@1@1,4102003@數位電子學實驗@1@1,4102003@數位電子學實驗@1@2,4102050@組合語言@1@1,4102062@資料結構@1@1,4102062@資料結構@1@2,4102090@工程數學@1@1,4102068@計算方法概論@2@1,4102068@計算方法概論@2@2,4102100@數位系統導論@2@1,4102130@數位系統導論實驗@2@1,4102130@數位系統導論實驗@2@2,4102150@系統程式@2@1,4102150@系統程式@2@2,4102160@物件導向程式設計@2@1,4102161@電腦軟體設計@2@1,4103039@電腦網路概論@2@1,4104048@網路安全概論@2@1,4104061@資料庫系統@2@1,4103001@作業系統概論@1@2,4103020@程式語言導論@1@1,4103022@軟體工程@1@1,4103026@多媒體技術概論@1@1,4103055@計算機組織@1@1,4103055@計算機組織@1@2,4103066@人工智慧導論@1@1,4103069@易數邏輯@1@1,4103800@資訊工程研討@1@1,4104046@電信網路概論@1@1,4102013@機率論@2@1,4102170@統計學@2@1,4103061@數值分析@2@1,4103090@數位信號處理導論@2@1,4103095@Java程式設計：企業與嵌入式系統@2@1,4104005@編譯器設計@2@1,4104005@編譯器設計@2@2,4104800@專題實驗（一）@2@1,4104800@專題實驗（一）@2@2,4104800@專題實驗（一）@2@3,4104800@專題實驗（一）@2@4,4104800@專題實驗（一）@2@5,4102013@機率論@1@2,4104801@專題實驗（二）@1@1,4104801@專題實驗（二）@1@2,4104801@專題實驗（二）@1@3,4104801@專題實驗（二）@1@4,4104801@專題實驗（二）@1@5,4102160@物件導向程式設計@2@2,4103900@工程倫理@2@1,4104801@專題實驗（二）@2@1
402410046,NaN,78,99,NaN,99,NaN,NaN,NaN,NaN,68,NaN,NaN,NaN,63,NaN,96,NaN,96,NaN,NaN,NaN,65,NaN,79,61,76,NaN,65,60,NaN,68,37,60,62,89,NaN,NaN,75,76,51,NaN,-1,65,65,NaN,NaN,76,NaN,63,72,NaN,83,NaN,NaN,70,73,NaN,NaN,NaN,83,90,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402410047,NaN,72,95,NaN,95,NaN,NaN,NaN,NaN,72,NaN,92,71,81,NaN,85,NaN,NaN,NaN,85,NaN,NaN,NaN,80,65,NaN,85,54,85,NaN,79,67,NaN,74,77,NaN,NaN,61,96,NaN,63,NaN,72,53,NaN,64,NaN,69,36,61,NaN,60,NaN,NaN,NaN,81,-1,54,-1,40,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,-1,NaN
402410048,NaN,66,51,87,51,NaN,87,NaN,60,NaN,NaN,NaN,3,41,NaN,35,73,NaN,73,35,NaN,NaN,69,63,0,NaN,89,30,NaN,NaN,10,NaN,NaN,31,NaN,87,NaN,NaN,67,NaN,57,NaN,NaN,NaN,NaN,NaN,61,35,NaN,NaN,NaN,71,NaN,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402410049,NaN,69,57,54,NaN,57,NaN,NaN,NaN,51,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,39,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402410050,NaN,70,65,NaN,65,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,50,62,73,NaN,NaN,NaN,73,NaN,NaN,67,62,75,NaN,90,60,NaN,71,60,60,NaN,71,NaN,80,76,NaN,74,0,67,NaN,-1,63,67,75,NaN,71,NaN,60,NaN,77,16,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,NaN,-1
402410051,NaN,71,70,NaN,70,NaN,NaN,NaN,NaN,71,NaN,73,NaN,70,NaN,73,NaN,73,NaN,NaN,NaN,NaN,NaN,79,73,NaN,86,67,NaN,73,62,61,NaN,72,90,NaN,78,NaN,86,74,76,NaN,74,74,92,82,78,76,NaN,68,NaN,75,NaN,NaN,NaN,NaN,NaN,63,NaN,67,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
402410052,NaN,75,83,NaN,83,NaN,NaN,NaN,69,NaN,NaN,NaN,NaN,80,NaN,92,NaN,92,NaN,NaN,NaN,74,NaN,75,89,97,NaN,93,100,NaN,91,NaN,94,78,91,NaN,NaN,100,83,99,76,NaN,90,96,98,84,83,NaN,87,NaN,NaN,98,NaN,NaN,NaN,-1,NaN,NaN,80,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,-1,NaN
402410053,NaN,60,62,NaN,NaN,NaN,62,NaN,66,NaN,NaN,69,72,65,NaN,63,NaN,NaN,NaN,63,NaN,NaN,NaN,60,67,80,NaN,62,63,NaN,71,NaN,80,75,NaN,91,NaN,67,70,NaN,53,NaN,62,49,NaN,76,69,NaN,76,76,NaN,81,NaN,NaN,NaN,NaN,NaN,60,73,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN
402410054,NaN,69,NaN,72,NaN,72,NaN,NaN,67,NaN,NaN,NaN,66,74,NaN,NaN,67,NaN,67,NaN,NaN,NaN,83,76,88,NaN,85,76,77,NaN,73,60,NaN,67,NaN,94,78,NaN,74,67,70,NaN,76,NaN,67,80,65,52,69,29,NaN,80,40,NaN,NaN,NaN,NaN,14,-1,45,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,90,NaN,-1,NaN
402410055,NaN,64,60,NaN,NaN,NaN,60,NaN,40,43,NaN,64,NaN,NaN,50,63,NaN,NaN,NaN,63,NaN,NaN,NaN,25,83,NaN,79,60,NaN,69,46,60,NaN,60,NaN,94,74,NaN,60,NaN,63,NaN,NaN,61,78,NaN,16,60,NaN,60,NaN,76,41,67,NaN,NaN,NaN,NaN,NaN,50,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,NaN,NaN
402410056,NaN,68,49,74,49,NaN,NaN,74,NaN,71,NaN,NaN,NaN,NaN,57,41,73,41,73,NaN,NaN,62,NaN,82,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN
402410057,NaN,82,99,NaN,NaN,NaN,99,NaN,72,NaN,80,NaN,60,77,NaN,100,NaN,NaN,NaN,100,NaN,NaN,NaN,84,67,91,NaN,93,96,NaN,60,NaN,64,70,NaN,92,89,NaN,90,94,78,NaN,69,NaN,84,83,NaN,NaN,67,74,NaN,87,NaN,NaN,NaN,NaN,NaN,89,NaN,71,NaN,92,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN
402410058,NaN,74,66,NaN,NaN,NaN,66,NaN,NaN,88,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,7,NaN,68,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402410059,NaN,70,65,NaN,NaN,NaN,65,NaN,NaN,65,80,NaN,NaN,60,NaN,63,NaN,63,NaN,NaN,NaN,NaN,NaN,77,65,81,NaN,63,NaN,61,60,NaN,75,-1,NaN,91,NaN,72,77,NaN,75,NaN,-1,60,69,NaN,68,NaN,60,NaN,NaN,60,NaN,NaN,NaN,NaN,70,60,NaN,64,NaN,80,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,-1,NaN
402410060,NaN,65,NaN,79,NaN,NaN,NaN,79,60,NaN,NaN,NaN,NaN,84,NaN,NaN,62,NaN,62,NaN,NaN,NaN,75,77,64,NaN,89,80,NaN,81,81,NaN,91,85,NaN,95,87,NaN,82,NaN,72,NaN,98,88,100,NaN,NaN,92,NaN,98,NaN,91,NaN,NaN,89,97,NaN,NaN,NaN,82,NaN,87,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN
402410061,NaN,67,64,NaN,NaN,NaN,64,NaN,NaN,64,77,NaN,NaN,NaN,56,60,NaN,60,NaN,NaN,NaN,NaN,NaN,70,63,NaN,87,65,75,NaN,64,75,NaN,76,89,NaN,NaN,81,72,NaN,72,NaN,NaN,79,NaN,79,75,78,NaN,71,NaN,71,NaN,79,-1,NaN,NaN,61,75,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN
402410062,NaN,82,83,NaN,83,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,85,86,NaN,86,NaN,NaN,NaN,NaN,79,86,85,82,NaN,87,NaN,94,82,NaN,91,60,91,NaN,NaN,89,73,83,72,70,NaN,79,85,81,74,NaN,87,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN
402410064,NaN,90,NaN,83,NaN,NaN,NaN,83,84,NaN,NaN,NaN,NaN,NaN,74,NaN,99,NaN,NaN,NaN,99,75,NaN,88,76,85,NaN,90,100,NaN,65,NaN,87,61,NaN,93,81,NaN,79,72,72,70,80,75,91,NaN,NaN,NaN,63,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,-1,46,NaN,92,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
402410065,NaN,65,63,NaN,63,NaN,NaN,NaN,NaN,83,78,NaN,NaN,61,NaN,16,78,16,NaN,NaN,78,NaN,NaN,66,64,NaN,84,64,74,56,63,67,NaN,64,90,NaN,82,NaN,83,NaN,64,NaN,73,60,NaN,77,NaN,51,83,70,NaN,60,NaN,NaN,72,NaN,NaN,70,NaN,77,85,NaN,NaN,NaN,NaN,NaN,25,NaN,NaN,NaN,NaN,NaN,NaN,-1
402410066,NaN,71,76,NaN,76,NaN,56,NaN,NaN,70,NaN,NaN,NaN,82,NaN,64,NaN,NaN,NaN,64,NaN,73,NaN,92,77,NaN,77,64,75,NaN,61,73,NaN,68,NaN,88,84,NaN,66,NaN,-1,NaN,-1,67,76,NaN,65,76,NaN,NaN,NaN,97,73,NaN,NaN,85,83,NaN,NaN,67,84,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402410067,NaN,60,NaN,43,NaN,43,NaN,NaN,48,NaN,NaN,70,NaN,34,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402410068,NaN,86,66,NaN,NaN,NaN,66,NaN,NaN,86,NaN,NaN,NaN,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402410069,NaN,73,61,NaN,61,NaN,NaN,NaN,NaN,70,NaN,70,NaN,72,NaN,64,NaN,NaN,NaN,64,NaN,NaN,NaN,79,84,NaN,87,81,NaN,70,69,NaN,71,62,NaN,90,75,NaN,87,NaN,74,NaN,86,67,83,NaN,71,75,NaN,64,NaN,95,NaN,NaN,NaN,72,NaN,NaN,NaN,77,85,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402410070,NaN,78,NaN,71,NaN,71,NaN,NaN,NaN,81,NaN,NaN,69,80,NaN,NaN,79,NaN,79,NaN,NaN,75,NaN,95,66,89,NaN,65,73,NaN,70,81,NaN,81,94,NaN,NaN,67,78,NaN,69,-1,NaN,51,NaN,NaN,83,NaN,83,27,81,76,92,NaN,NaN,92,NaN,33,77,NaN,85,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,-1,NaN
402410071,NaN,72,64,NaN,NaN,64,31,NaN,NaN,72,63,NaN,61,78,NaN,8,67,8,NaN,NaN,67,NaN,NaN,72,74,NaN,98,74,61,NaN,60,60,NaN,71,74,NaN,81,NaN,22,NaN,65,NaN,-1,NaN,NaN,NaN,68,NaN,74,NaN,84,84,NaN,NaN,-1,-1,67,NaN,NaN,60,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,81,NaN,-1,-1,NaN
402410072,NaN,66,NaN,66,NaN,66,NaN,NaN,73,57,NaN,NaN,76,NaN,NaN,73,39,73,NaN,NaN,39,60,NaN,64,63,NaN,93,60,94,18,60,NaN,68,63,NaN,90,90,NaN,-1,NaN,70,-1,NaN,NaN,NaN,NaN,NaN,55,72,NaN,NaN,87,79,73,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN
402410073,NaN,83,NaN,93,NaN,93,NaN,NaN,NaN,82,80,NaN,NaN,87,NaN,NaN,99,NaN,NaN,NaN,99,NaN,NaN,81,61,91,NaN,88,96,NaN,60,69,NaN,63,88,NaN,NaN,98,96,77,68,NaN,87,73,77,77,NaN,77,NaN,NaN,86,80,NaN,NaN,68,NaN,NaN,82,80,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
402410074,NaN,71,76,NaN,76,NaN,53,NaN,NaN,72,NaN,NaN,69,61,NaN,18,74,NaN,NaN,18,74,68,NaN,63,60,NaN,87,60,72,NaN,70,64,NaN,62,NaN,88,79,NaN,65,NaN,61,NaN,-1,NaN,NaN,NaN,67,66,NaN,27,NaN,83,61,NaN,-1,-1,NaN,-1,NaN,60,NaN,80,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN
402410076,NaN,81,NaN,71,NaN,NaN,NaN,71,81,NaN,NaN,NaN,NaN,80,NaN,NaN,73,NaN,NaN,NaN,73,76,NaN,83,78,NaN,94,83,100,NaN,80,NaN,78,67,NaN,90,NaN,83,70,NaN,72,NaN,96,80,100,NaN,85,73,NaN,NaN,NaN,100,88,NaN,NaN,NaN,NaN,NaN,NaN,67,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN
402410077,NaN,84,92,NaN,NaN,NaN,92,NaN,94,NaN,81,NaN,NaN,91,NaN,97,NaN,97,NaN,NaN,NaN,NaN,NaN,97,94,88,NaN,75,100,NaN,87,NaN,92,83,90,NaN,85,NaN,94,98,87,NaN,90,88,NaN,90,NaN,NaN,86,87,NaN,77,NaN,NaN,84,NaN,NaN,81,NaN,90,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN
402410078,NaN,78,NaN,95,NaN,NaN,NaN,95,82,NaN,NaN,NaN,60,NaN,73,NaN,99,NaN,NaN,NaN,99,NaN,77,87,69,88,NaN,90,89,NaN,63,73,NaN,61,88,NaN,NaN,93,80,89,76,NaN,66,NaN,86,83,77,NaN,71,NaN,NaN,77,NaN,NaN,82,78,NaN,74,NaN,73,90,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402410079,NaN,75,66,NaN,NaN,NaN,66,NaN,86,NaN,88,NaN,NaN,NaN,81,63,NaN,NaN,NaN,63,NaN,NaN,NaN,86,98,NaN,88,65,NaN,85,100,85,NaN,87,88,NaN,95,NaN,85,NaN,91,NaN,93,74,NaN,82,85,NaN,79,NaN,NaN,86,94,NaN,NaN,100,NaN,73,98,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN
402410080,NaN,61,76,NaN,76,NaN,44,NaN,NaN,67,NaN,NaN,NaN,50,62,42,70,NaN,NaN,42,70,65,NaN,66,72,NaN,89,88,79,NaN,76,72,NaN,-1,NaN,65,72,NaN,68,NaN,67,NaN,67,73,NaN,NaN,69,66,NaN,66,NaN,92,NaN,NaN,NaN,-1,NaN,-1,-1,13,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,86,NaN,-1,NaN
402410081,NaN,71,77,NaN,77,NaN,NaN,NaN,NaN,82,79,NaN,NaN,76,NaN,70,NaN,NaN,NaN,70,NaN,NaN,NaN,77,83,NaN,82,71,80,NaN,89,78,NaN,91,NaN,93,86,NaN,78,96,81,NaN,87,73,94,83,NaN,NaN,79,70,NaN,83,NaN,NaN,77,NaN,NaN,70,NaN,77,NaN,88,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN
402410082,NaN,84,83,NaN,83,NaN,NaN,NaN,NaN,89,NaN,NaN,90,NaN,83,78,NaN,78,NaN,NaN,NaN,NaN,86,92,65,80,NaN,86,NaN,78,70,90,NaN,63,92,NaN,89,NaN,83,97,81,NaN,84,NaN,88,NaN,NaN,76,NaN,72,88,98,77,NaN,NaN,87,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN
402410083,NaN,80,NaN,77,NaN,77,NaN,NaN,NaN,84,NaN,92,76,80,NaN,NaN,89,NaN,89,NaN,NaN,NaN,NaN,83,63,88,NaN,60,61,NaN,66,64,NaN,76,94,NaN,NaN,93,60,NaN,89,-1,-1,56,77,NaN,NaN,55,73,61,NaN,86,93,NaN,NaN,60,NaN,41,71,NaN,85,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,-1,NaN
402410084,NaN,76,NaN,77,NaN,NaN,NaN,77,NaN,80,NaN,NaN,NaN,90,NaN,NaN,95,NaN,NaN,NaN,95,NaN,85,82,75,NaN,92,79,NaN,77,89,NaN,92,92,NaN,94,86,NaN,74,NaN,77,NaN,95,90,100,NaN,NaN,83,NaN,85,NaN,97,NaN,NaN,88,NaN,NaN,NaN,NaN,81,NaN,88,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN
402410085,NaN,67,64,NaN,44,NaN,NaN,64,67,NaN,NaN,67,NaN,16,78,51,NaN,11,NaN,51,NaN,NaN,NaN,60,0,80,NaN,NaN,NaN,NaN,11,NaN,NaN,2,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
402410086,NaN,81,NaN,99,NaN,NaN,NaN,99,NaN,87,NaN,NaN,NaN,NaN,85,NaN,99,NaN,NaN,NaN,99,79,NaN,92,77,89,NaN,90,100,NaN,76,85,NaN,65,90,NaN,93,NaN,82,NaN,70,NaN,NaN,80,83,NaN,NaN,NaN,88,NaN,NaN,97,NaN,NaN,NaN,84,NaN,NaN,78,NaN,80,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402410087,NaN,84,NaN,81,NaN,81,NaN,NaN,80,NaN,80,NaN,NaN,NaN,85,NaN,94,NaN,NaN,NaN,94,NaN,NaN,89,99,84,NaN,88,100,NaN,81,85,NaN,83,92,NaN,NaN,95,92,NaN,79,NaN,91,91,100,91,NaN,NaN,89,76,87,96,93,NaN,NaN,100,NaN,80,NaN,93,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN
402410088,NaN,73,77,NaN,NaN,NaN,77,NaN,77,NaN,NaN,NaN,74,NaN,80,77,NaN,77,NaN,NaN,NaN,NaN,83,88,100,86,NaN,88,NaN,88,72,96,NaN,84,NaN,92,90,NaN,78,96,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,76,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN
402410090,NaN,75,67,NaN,NaN,NaN,67,NaN,69,NaN,NaN,NaN,85,NaN,65,60,NaN,60,NaN,NaN,NaN,NaN,84,83,67,87,NaN,64,NaN,72,90,70,NaN,74,NaN,85,92,NaN,68,NaN,99,NaN,93,NaN,83,NaN,NaN,82,NaN,NaN,NaN,89,99,NaN,NaN,-1,NaN,NaN,NaN,90,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN
402410091,NaN,75,NaN,82,NaN,NaN,NaN,82,NaN,74,NaN,80,77,81,NaN,NaN,96,NaN,NaN,NaN,96,NaN,NaN,81,83,79,NaN,70,72,NaN,73,NaN,73,76,93,NaN,NaN,85,73,NaN,69,NaN,78,NaN,87,NaN,71,NaN,84,73,81,71,NaN,NaN,NaN,NaN,NaN,75,NaN,67,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN
402410092,NaN,67,68,NaN,NaN,NaN,68,NaN,NaN,63,NaN,NaN,76,60,NaN,53,73,53,NaN,NaN,73,NaN,75,73,82,81,NaN,64,86,51,65,67,NaN,66,90,NaN,74,NaN,74,NaN,65,NaN,64,59,NaN,NaN,71,62,NaN,68,NaN,79,NaN,NaN,NaN,NaN,NaN,62,NaN,75,93,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,-1,NaN
402410093,NaN,94,80,NaN,NaN,NaN,80,NaN,93,NaN,NaN,85,68,NaN,82,84,NaN,NaN,NaN,84,NaN,NaN,NaN,94,100,NaN,86,66,98,NaN,88,79,NaN,84,NaN,88,91,NaN,93,NaN,60,NaN,NaN,NaN,NaN,NaN,60,40,79,NaN,NaN,69,80,NaN,NaN,64,84,NaN,-1,41,NaN,90,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,-1,NaN
402410094,NaN,73,68,NaN,NaN,NaN,68,NaN,83,NaN,NaN,NaN,80,NaN,72,65,NaN,65,NaN,NaN,NaN,81,NaN,80,98,74,NaN,74,NaN,79,79,83,NaN,88,NaN,93,NaN,93,66,NaN,68,NaN,-1,NaN,91,NaN,78,NaN,79,72,NaN,87,NaN,NaN,85,100,NaN,NaN,91,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN
402410096,NaN,74,76,NaN,76,NaN,NaN,NaN,NaN,67,NaN,NaN,74,65,NaN,71,NaN,71,NaN,NaN,NaN,81,NaN,79,61,NaN,83,67,NaN,64,65,75,NaN,71,NaN,93,NaN,97,72,NaN,66,NaN,86,NaN,94,80,80,69,NaN,88,NaN,75,NaN,NaN,80,88,NaN,NaN,NaN,83,92,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402410097,NaN,77,51,66,51,48,NaN,66,NaN,77,NaN,64,NaN,48,74,NaN,60,NaN,0,NaN,60,NaN,NaN,-1,69,NaN,69,60,72,NaN,66,NaN,68,62,NaN,81,53,78,68,NaN,63,NaN,-1,67,NaN,NaN,74,71,NaN,NaN,NaN,80,NaN,NaN,-1,-1,NaN,-1,NaN,71,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN
402410098,NaN,71,70,NaN,70,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,76,NaN,65,NaN,65,NaN,NaN,NaN,NaN,74,81,78,71,NaN,71,NaN,77,78,63,NaN,73,91,NaN,88,NaN,81,NaN,68,NaN,NaN,77,83,81,NaN,78,NaN,62,NaN,80,NaN,NaN,73,68,NaN,68,NaN,75,85,NaN,NaN,NaN,NaN,NaN,25,NaN,NaN,NaN,NaN,NaN,NaN,-1
402410102,NaN,NaN,68,NaN,NaN,NaN,NaN,68,61,NaN,NaN,NaN,63,NaN,68,78,NaN,78,NaN,NaN,NaN,NaN,75,62,82,91,NaN,63,73,NaN,71,NaN,69,-1,NaN,84,30,67,77,NaN,-1,21,-1,NaN,NaN,70,NaN,NaN,61,NaN,77,95,66,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
402410101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,96,97,NaN,100,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,100,NaN,90,90,NaN,100,95,99,NaN,NaN,78,NaN,96,NaN,NaN,NaN,100,-1,NaN,NaN,100,NaN,NaN,98,NaN,96,NaN,92,99,NaN,NaN,NaN,NaN,98,NaN,90,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN
