id,4100003@計算機概論@1@2,4101012@資訊概論@1@1,4101031@程式設計（一）@1@1,4101031@程式設計（一）@1@2,4101033@程式設計實習（一）@1@1,4101033@程式設計實習（一）@1@2,4101033@程式設計實習（一）@1@3,4101033@程式設計實習（一）@1@4,4101155@線性代數@1@1,4101155@線性代數@1@2,4101888@學系服務學習@1@1,4101888@學系服務學習@1@2,4102001@數位電子學@1@1,4102003@數位電子學實驗@1@1,4101032@程式設計（二）@2@1,4101032@程式設計（二）@2@2,4101034@程式設計實習（二）@2@1,4101034@程式設計實習（二）@2@2,4101034@程式設計實習（二）@2@3,4101034@程式設計實習（二）@2@4,4101888@學系服務學習@2@1,4101888@學系服務學習@2@2,4102013@機率論@2@1,4102085@離散數學@2@1,4103039@電腦網路概論@2@1,4102003@數位電子學實驗@1@2,4102013@機率論@1@1,4102013@機率論@1@2,4102050@組合語言@1@1,4102062@資料結構@1@1,4102062@資料結構@1@2,4102090@工程數學@1@1,4103026@多媒體技術概論@1@1,4103055@計算機組織@1@2,4100008@程式語言@2@1,4102068@計算方法概論@2@1,4102068@計算方法概論@2@2,4102100@數位系統導論@2@1,4102130@數位系統導論實驗@2@1,4102130@數位系統導論實驗@2@2,4102150@系統程式@2@1,4102150@系統程式@2@2,4102160@物件導向程式設計@2@1,4102160@物件導向程式設計@2@2,4102170@統計學@2@1,4103090@數位信號處理導論@2@1,4103095@Java程式設計：企業與嵌入式系統@2@1,4104048@網路安全概論@2@1,4104061@資料庫系統@2@1
404410085,NaN,71,92,NaN,NaN,92,NaN,NaN,66,NaN,79,NaN,83,74,80,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,73,-1,NaN,NaN,75,62,NaN,76,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
404410086,NaN,46,NaN,19,NaN,NaN,19,NaN,NaN,39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404410087,NaN,64,21,NaN,NaN,21,NaN,NaN,66,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404410088,NaN,64,87,NaN,87,NaN,NaN,NaN,50,NaN,NaN,NaN,47,NaN,38,-1,NaN,-1,38,NaN,78,NaN,NaN,-1,NaN,72,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404410089,NaN,86,NaN,84,NaN,NaN,NaN,84,100,NaN,NaN,81,92,NaN,NaN,94,NaN,NaN,NaN,94,NaN,NaN,NaN,94,NaN,89,82,NaN,83,NaN,81,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,-1
404410090,NaN,100,NaN,96,NaN,NaN,NaN,96,98,NaN,NaN,NaN,100,NaN,NaN,98,NaN,NaN,NaN,98,NaN,81,NaN,98,NaN,97,NaN,93,98,NaN,99,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404410091,NaN,91,74,NaN,NaN,74,NaN,NaN,91,NaN,NaN,78,100,NaN,77,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,97,NaN,88,75,NaN,91,NaN,NaN,85,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,-1
404410092,NaN,61,62,NaN,NaN,62,NaN,NaN,48,NaN,NaN,NaN,78,73,-1,NaN,-1,NaN,4,NaN,70,NaN,NaN,60,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
404410093,NaN,68,60,NaN,NaN,60,NaN,NaN,63,54,73,NaN,61,71,77,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,77,-1,NaN,NaN,71,72,NaN,72,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
404410094,NaN,66,NaN,43,NaN,NaN,43,NaN,NaN,62,NaN,NaN,77,69,NaN,73,NaN,73,NaN,NaN,79,NaN,NaN,67,NaN,NaN,66,NaN,80,74,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN
404410095,NaN,94,91,NaN,91,NaN,NaN,NaN,NaN,85,84,NaN,80,NaN,99,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,84,-1,94,NaN,77,95,NaN,79,82,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404410096,NaN,82,72,NaN,NaN,72,NaN,NaN,NaN,79,NaN,NaN,98,NaN,63,NaN,NaN,NaN,63,NaN,NaN,81,NaN,77,NaN,73,77,NaN,86,NaN,67,80,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
404410097,NaN,77,NaN,92,NaN,NaN,NaN,92,NaN,60,NaN,78,79,NaN,NaN,95,NaN,NaN,NaN,95,NaN,NaN,NaN,82,NaN,84,NaN,67,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,-1
404410098,NaN,73,NaN,55,NaN,NaN,55,NaN,NaN,60,NaN,NaN,87,83,NaN,68,NaN,68,NaN,NaN,79,NaN,NaN,-1,-1,NaN,82,NaN,89,76,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN
404410101,NaN,74,88,NaN,NaN,88,NaN,NaN,65,NaN,NaN,76,82,84,98,NaN,NaN,NaN,98,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,87,65,NaN,79,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN
404410107,NaN,96,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,88,NaN,78,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404410108,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28,NaN,NaN,51,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404410109,NaN,95,NaN,NaN,NaN,NaN,84,NaN,69,NaN,75,NaN,77,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,60,NaN,NaN,NaN,74,NaN,82,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
404410110,NaN,90,NaN,NaN,NaN,99,NaN,NaN,NaN,60,NaN,NaN,64,68,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN
