id,4101012@資訊概論@1@1,4101031@程式設計（一）@1@1,4101033@程式設計實習（一）@1@1,4101033@程式設計實習（一）@1@2,4101033@程式設計實習（一）@1@3,4101033@程式設計實習（一）@1@4,4101155@線性代數@1@1,4101155@線性代數@1@2,4101888@學系服務學習@1@1,4101888@學系服務學習@1@2,4102062@資料結構@1@1,4101013@機率論@2@1,4101013@機率論@2@2,4101032@程式設計（二）@2@1,4101032@程式設計（二）@2@2,4101034@程式設計實習（二）@2@1,4101034@程式設計實習（二）@2@2,4101034@程式設計實習（二）@2@3,4101034@程式設計實習（二）@2@4,4101888@學系服務學習@2@1,4101888@學系服務學習@2@2,4102085@離散數學@2@1,4101031@程式設計（一）@1@2,4102001@數位電子學@1@1,4102003@數位電子學實驗@1@1,4102003@數位電子學實驗@1@2,4102050@組合語言@1@1,4102062@資料結構@1@2,4102090@工程數學@1@1,4103026@多媒體技術概論@1@1,4103069@易數邏輯@1@1,4102013@機率論@2@1,4102068@計算方法概論@2@1,4102068@計算方法概論@2@2,4102100@數位系統導論@2@1,4102130@數位系統導論實驗@2@1,4102130@數位系統導論實驗@2@2,4102150@系統程式@2@1,4102150@系統程式@2@2,4102160@物件導向程式設計@2@1,4102160@物件導向程式設計@2@2,4102170@統計學@2@1,4103039@電腦網路概論@2@1,4103095@Java程式設計：企業與嵌入式系統@2@1,4104005@編譯器設計@2@1,4104048@網路安全概論@2@1,4104061@資料庫系統@2@1,4102013@機率論@1@1,4102013@機率論@1@2,4103001@作業系統概論@1@1,4103022@軟體工程@1@1,4103055@計算機組織@1@1,4103055@計算機組織@1@2,4103066@人工智慧導論@1@1,4103800@資訊工程研討@1@1,4104046@電信網路概論@1@1,4103061@數值分析@2@1,4103090@數位信號處理導論@2@1,4103900@工程倫理@2@1,4104005@編譯器設計@2@2,4104800@專題實驗（一）@2@1,4104800@專題實驗（一）@2@2,4104800@專題實驗（一）@2@3,4104800@專題實驗（一）@2@4,4104800@專題實驗（一）@2@5
403410040,80,99,NaN,NaN,99,NaN,66,NaN,NaN,NaN,NaN,65,NaN,NaN,78,NaN,78,NaN,NaN,71,NaN,64,NaN,60,83,NaN,82,87,77,NaN,NaN,NaN,-1,51,-1,88,NaN,65,NaN,NaN,68,NaN,-1,-1,-1,67,72,NaN,NaN,69,NaN,60,NaN,61,86,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
403410041,73,86,NaN,NaN,NaN,86,NaN,60,83,NaN,NaN,76,NaN,81,NaN,81,NaN,NaN,NaN,NaN,NaN,66,NaN,36,NaN,80,60,35,23,NaN,NaN,NaN,NaN,27,44,83,NaN,80,NaN,NaN,70,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403410042,86,68,68,NaN,NaN,NaN,65,NaN,NaN,NaN,64,61,NaN,64,NaN,NaN,NaN,64,NaN,NaN,72,61,NaN,60,NaN,78,63,39,71,60,NaN,NaN,-1,NaN,-1,82,NaN,67,NaN,-1,39,NaN,-1,NaN,-1,60,NaN,NaN,NaN,43,NaN,NaN,61,NaN,71,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN
403410043,77,40,NaN,NaN,40,NaN,81,NaN,NaN,82,NaN,NaN,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403410044,60,75,75,NaN,NaN,45,42,54,NaN,NaN,NaN,11,NaN,-1,NaN,-1,NaN,8,NaN,70,NaN,60,NaN,NaN,88,NaN,65,NaN,64,NaN,NaN,40,-1,8,-1,NaN,79,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,30,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
403410045,75,70,NaN,NaN,70,NaN,47,49,72,NaN,NaN,60,NaN,69,NaN,69,NaN,NaN,NaN,NaN,NaN,56,NaN,33,NaN,80,45,52,80,NaN,81,NaN,-1,52,-1,NaN,85,73,NaN,NaN,60,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,54,NaN,55,NaN,60,81,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN
403410048,43,12,12,NaN,NaN,NaN,NaN,24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403410049,66,86,NaN,NaN,86,NaN,NaN,64,73,NaN,NaN,35,NaN,NaN,74,NaN,NaN,NaN,74,NaN,NaN,61,NaN,74,80,NaN,60,60,65,90,NaN,77,NaN,76,64,NaN,86,87,NaN,NaN,84,NaN,-1,NaN,-1,77,NaN,NaN,NaN,77,83,NaN,91,90,94,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
403410050,75,48,NaN,NaN,80,NaN,78,NaN,NaN,NaN,NaN,77,NaN,79,NaN,79,NaN,NaN,NaN,76,NaN,82,80,84,88,NaN,85,73,80,NaN,NaN,NaN,NaN,95,83,90,NaN,94,NaN,NaN,85,79,-1,NaN,NaN,NaN,86,NaN,NaN,88,91,92,NaN,85,98,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,NaN
403410051,67,66,66,NaN,NaN,NaN,75,NaN,NaN,77,55,47,NaN,53,-1,NaN,-1,53,NaN,NaN,NaN,61,NaN,66,73,NaN,60,NaN,65,67,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,62,NaN,68,NaN,NaN,74,NaN,92,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN
